DATE,TOURS_wind_speed,TOURS_humidity,TOURS_pressure,TOURS_global_radiation,TOURS_precipitation,TOURS_temp_min,TOURS_temp_max,TOURS_temp_mean
20000126,4.1,0.7,1.0316,0.92,0.0,-5.3,1.7,-1.8
20000127,1.6,0.81,1.0302,0.86,0.02,-5.6,5.8,0.1
20000128,3.8,0.87,1.0237,0.82,0.0,-1.9,7.4,2.8
20000129,7.8,0.92,1.0173,0.1,0.1,4.3,10.4,7.4
20000130,7.0,0.88,1.0264,0.42,0.02,9.3,12.7,11.0
20000131,3.6,0.92,1.0289,0.23,0.0,8.5,10.1,9.3
20000201,2.6,0.96,1.0216,0.2,0.84,6.6,7.7,7.2
20000202,3.6,0.94,1.0241,0.13,0.26,5.9,10.4,8.2
20000203,1.2,0.87,1.0377,0.59,0.0,-0.8,8.0,3.6
20000204,2.0,0.86,1.0367,0.99,0.02,0.0,10.6,5.3
20000205,2.8,0.77,1.0295,0.95,0.0,0.7,15.9,8.3
20000206,4.6,0.94,1.0244,0.28,0.18,4.4,9.7,7.0
20000207,6.5,0.94,1.0221,0.27,0.48,5.5,11.4,8.4
20000208,7.4,0.89,1.019,0.14,1.06,10.3,12.3,11.3
20000209,3.6,0.81,1.0307,1.07,0.02,4.5,11.4,8.0
20000210,4.6,0.91,1.0239,0.38,0.5,1.7,10.4,6.0
20000211,2.1,0.83,1.0313,1.21,0.02,-0.6,8.7,4.0
20000212,5.1,0.87,1.0287,0.91,0.44,-1.8,8.8,3.5
20000213,4.8,0.97,1.0237,0.34,0.38,6.4,9.3,7.8
20000214,3.4,0.98,1.0239,0.36,0.24,6.5,11.1,8.8
20000215,5.1,0.91,1.0194,0.28,1.2,8.5,10.5,9.5
20000216,6.9,0.8,1.0135,0.62,0.1,3.0,7.9,5.4
20000217,5.4,0.76,1.0159,1.15,0.12,2.7,10.4,6.6
20000218,8.1,0.87,1.0125,0.38,0.1,5.5,12.6,9.0
20000219,4.9,0.86,1.0182,0.73,0.52,6.2,9.7,8.0
20000220,1.5,0.8,1.0301,1.43,0.0,-0.8,9.1,4.2
20000221,0.9,0.76,1.0295,1.16,0.0,-1.6,9.3,3.8
20000222,1.8,0.72,1.0257,1.16,0.0,-0.6,11.4,5.4
20000223,3.0,0.85,1.0264,0.49,0.0,4.4,9.3,6.8
20000224,4.5,0.93,1.0277,0.5,0.04,8.5,12.5,10.5
20000225,4.1,0.91,1.0296,0.34,0.0,7.8,9.9,8.8
20000226,1.8,0.93,1.0299,0.39,0.02,6.1,9.3,7.7
20000227,3.9,0.83,1.023,1.39,0.0,2.9,18.8,10.8
20000228,5.5,0.88,1.0203,0.39,0.78,7.9,11.6,9.8
20000229,7.1,0.91,1.0128,0.25,1.36,5.6,10.2,7.9
20000301,5.5,0.84,1.0143,0.9,0.26,5.2,10.0,7.6
20000302,4.6,0.78,1.0264,1.31,0.0,-0.1,10.0,5.0
20000303,7.1,0.89,1.0171,0.39,0.88,7.4,10.8,9.1
20000304,2.9,0.7,1.0284,1.58,0.0,1.3,8.1,4.7
20000305,2.4,0.65,1.0349,1.78,0.0,-1.6,9.4,3.9
20000306,2.0,0.64,1.0308,1.81,0.0,-0.7,11.1,5.2
20000307,1.1,0.7,1.0304,1.78,0.0,-1.7,15.3,6.8
20000308,2.6,0.69,1.032,1.72,0.0,2.6,16.6,9.6
20000309,3.8,0.84,1.0316,1.77,0.0,2.8,15.0,8.9
20000310,2.4,0.89,1.0305,0.74,0.0,8.6,12.2,10.4
20000311,2.9,0.8,1.0247,1.74,0.0,5.6,15.3,10.4
20000312,4.4,0.74,1.0247,1.81,0.0,5.5,13.3,9.4
20000313,3.0,0.72,1.0274,1.85,0.0,2.9,14.9,8.9
20000314,4.0,0.81,1.0279,1.42,0.0,4.2,16.9,10.5
20000315,3.5,0.72,1.0335,1.75,0.0,3.7,11.0,7.4
20000316,2.6,0.81,1.0342,1.53,0.0,0.0,10.8,5.4
20000317,3.4,0.78,1.0316,1.03,0.0,2.5,12.7,7.6
20000318,4.5,0.71,1.0313,0.69,0.0,7.4,10.7,9.0
20000319,4.8,0.73,1.03,1.25,0.0,3.0,11.3,7.2
20000320,6.0,0.66,1.0238,2.01,0.0,4.2,13.2,8.7
20000321,3.1,0.61,1.0187,2.07,0.0,1.1,16.7,8.9
20000322,2.9,0.59,1.0153,2.04,0.0,3.2,17.7,10.5
20000323,3.8,0.73,1.0097,1.08,0.3,9.1,15.7,12.4
20000324,5.0,0.82,1.012,0.93,0.4,8.6,14.2,11.4
20000325,3.8,0.86,1.0149,0.93,0.22,7.9,11.9,9.9
20000326,5.1,0.82,1.0111,1.3,0.54,4.0,11.7,7.8
20000327,2.6,0.88,1.01,0.89,0.56,2.9,9.3,6.1
20000328,4.4,0.84,1.0127,0.79,0.16,1.4,9.7,5.5
20000329,2.8,0.82,1.0117,0.73,0.0,3.6,6.5,5.0
20000330,2.4,0.82,1.0128,0.88,0.02,1.6,8.4,5.0
20000331,3.0,0.82,1.0075,1.72,0.16,0.5,12.5,6.5
20000401,4.2,0.82,1.0049,1.41,0.02,4.9,12.4,8.6
20000402,5.0,0.64,0.9931,1.94,0.04,3.3,18.0,10.6
20000403,3.6,0.82,0.9867,0.83,0.26,8.2,15.0,11.6
20000404,4.8,0.82,0.9932,1.14,0.06,4.5,13.2,8.8
20000405,3.6,0.85,1.0127,0.25,0.02,3.6,5.5,4.6
20000406,4.5,0.7,1.0255,1.47,0.0,4.1,8.4,6.2
20000407,5.9,0.57,1.0266,2.65,0.0,-0.2,15.1,7.4
20000408,5.1,0.58,1.0173,2.67,0.0,2.6,18.6,10.6
20000409,2.6,0.8,1.0065,0.87,0.12,4.0,13.3,8.6
20000410,5.2,0.69,1.006,2.11,0.0,7.0,15.9,11.4
20000411,5.2,0.77,0.9977,1.58,0.38,2.1,11.4,6.8
20000412,6.8,0.8,0.9947,1.7,0.18,2.4,11.3,6.8
20000413,6.2,0.78,0.9988,1.71,0.5,3.9,13.3,8.6
20000414,5.2,0.92,0.9963,0.56,0.68,5.2,11.3,8.2
20000415,8.1,0.73,0.998,1.29,0.3,7.0,11.9,9.4
20000416,4.9,0.82,0.9954,0.94,0.16,1.7,14.0,7.8
20000417,6.5,0.8,1.0046,1.88,0.3,6.4,13.5,10.0
20000418,5.8,0.81,1.0057,1.68,0.34,7.2,15.9,11.5
20000419,5.1,0.74,1.0119,2.4,0.0,6.3,16.3,11.3
20000420,3.6,0.79,1.0115,1.45,0.18,11.1,20.4,15.8
20000421,2.9,0.68,1.0139,2.21,0.54,9.2,19.2,14.2
20000422,2.8,0.93,1.0097,0.63,1.22,11.9,14.5,13.2
20000423,4.0,0.84,1.0127,1.57,0.22,8.9,14.8,11.8
20000424,3.4,0.72,1.0128,2.39,0.0,5.1,16.0,10.6
20000425,4.2,0.7,1.0071,1.88,0.56,11.4,21.3,16.3
20000426,3.9,0.87,1.0087,1.1,0.18,9.8,15.2,12.5
20000427,2.9,0.96,1.0074,0.36,1.76,8.4,11.5,10.0
20000428,3.9,0.89,1.0094,0.63,0.04,8.6,12.1,10.4
20000429,2.1,0.75,1.0157,2.66,0.02,4.5,18.5,11.5
20000430,4.1,0.74,1.0175,2.82,0.0,6.6,21.1,13.8
20000501,6.4,0.77,1.0165,2.44,0.4,12.1,23.2,17.7
20000502,6.0,0.88,1.0177,1.23,0.0,11.2,17.6,14.4
20000503,4.9,0.92,1.0177,0.63,0.0,11.1,14.6,12.8
20000504,5.5,0.9,1.0144,1.82,0.0,11.8,19.2,15.5
20000505,3.5,0.84,1.0095,1.88,0.04,12.7,23.4,18.0
20000506,2.9,0.8,1.0105,2.12,0.0,11.6,21.8,16.7
20000507,1.9,0.82,1.0131,2.27,0.1,12.8,22.9,17.8
20000508,2.2,0.78,1.0155,2.19,0.0,11.2,23.3,17.2
20000509,2.8,0.73,1.0144,2.61,0.86,13.6,24.4,19.0
20000510,3.4,0.84,1.0119,2.26,0.48,14.3,23.3,18.8
20000511,3.6,0.88,1.0136,1.68,0.38,14.2,19.5,16.8
20000512,1.9,0.77,1.0193,2.19,0.04,13.9,22.0,18.0
20000513,1.2,0.83,1.0206,1.62,0.02,13.5,20.8,17.2
20000514,1.9,0.76,1.0207,2.9,0.0,10.7,25.3,18.0
20000515,1.9,0.67,1.0172,3.04,0.0,14.2,27.4,20.8
20000516,4.1,0.82,1.0143,1.9,0.24,15.4,21.5,18.4
20000517,4.1,0.72,1.017,2.51,0.0,11.1,17.6,14.4
20000518,5.1,0.78,1.0136,1.69,0.12,9.1,16.9,13.0
20000519,5.1,0.77,1.0144,1.51,0.0,6.4,14.7,10.6
20000520,1.6,0.7,1.0136,2.61,0.0,6.6,18.0,12.3
20000521,5.1,0.77,1.0127,2.06,0.16,10.9,16.8,13.8
20000522,2.5,0.76,1.0198,1.63,0.0,6.0,17.1,11.6
20000523,3.1,0.74,1.0197,2.89,0.0,7.5,20.1,13.8
20000524,4.5,0.7,1.0167,2.54,0.12,10.4,22.2,16.3
20000525,4.2,0.76,1.0166,2.42,0.06,13.8,17.9,15.8
20000526,6.2,0.74,1.0117,1.84,0.0,7.9,20.6,14.2
20000527,6.8,0.66,1.0138,2.41,0.2,7.7,17.6,12.6
20000528,6.0,0.68,1.0114,2.53,0.02,10.5,16.8,13.6
20000529,3.5,0.7,1.0183,2.35,0.28,5.7,16.6,11.2
20000530,6.1,0.96,1.0137,0.56,0.92,10.8,15.7,13.2
20000531,2.9,0.85,1.02,1.7,0.18,12.3,18.8,15.6
20000601,2.8,0.85,1.0207,2.06,0.02,12.0,22.6,17.3
20000602,2.9,0.79,1.017,2.99,0.0,14.3,27.5,20.9
20000603,2.6,0.83,1.016,1.72,0.06,17.4,25.2,21.3
20000604,3.2,0.88,1.0185,1.22,1.42,14.1,19.0,16.6
20000605,3.6,0.93,1.0187,0.74,0.84,11.8,15.0,13.4
20000606,3.6,0.8,1.0244,2.75,0.0,10.4,18.2,14.3
20000607,2.2,0.72,1.0239,3.47,0.0,9.8,20.2,15.0
20000608,4.2,0.63,1.0119,3.52,0.0,9.5,26.3,17.9
20000609,3.9,0.81,1.0116,1.76,0.94,14.2,23.0,18.6
20000610,3.4,0.82,1.0185,1.53,0.0,11.6,17.6,14.6
20000611,2.9,0.78,1.0227,2.23,0.0,8.5,20.1,14.3
20000612,2.1,0.75,1.0281,3.28,0.02,8.3,23.2,15.8
20000613,2.9,0.77,1.0264,3.03,0.0,13.3,26.1,19.7
20000614,2.0,0.83,1.0267,2.47,0.02,14.5,24.6,19.6
20000615,1.9,0.75,1.0259,3.39,0.0,13.6,27.0,20.3
20000616,3.8,0.74,1.0248,3.39,0.0,14.1,26.2,20.2
20000617,4.8,0.6,1.0247,3.55,0.0,13.6,27.5,20.6
20000618,4.1,0.54,1.0198,3.56,0.0,12.5,31.6,22.0
20000619,3.1,0.56,1.0168,3.41,0.0,18.0,31.5,24.8
20000620,3.9,0.62,1.0137,3.05,0.0,17.8,29.0,23.4
20000621,4.5,0.71,1.0162,1.84,0.0,15.8,23.9,19.8
20000622,5.5,0.65,1.0195,2.32,0.0,13.3,22.0,17.6
20000623,4.5,0.71,1.0219,1.94,0.04,13.8,20.4,17.1
20000624,3.8,0.71,1.0209,1.65,0.06,12.2,18.6,15.4
20000625,1.6,0.78,1.0207,1.23,0.04,11.2,17.6,14.4
20000626,4.8,0.58,1.0221,3.42,0.0,10.5,21.9,16.2
20000627,5.8,0.5,1.0173,3.38,0.0,10.5,23.9,17.2
20000628,2.2,0.55,1.0175,2.99,0.0,13.5,24.5,19.0
20000629,2.2,0.64,1.0187,2.26,0.0,15.5,24.7,20.1
20000630,1.6,0.74,1.0134,2.59,0.0,13.9,25.9,19.9
20000701,3.1,0.75,1.0107,2.46,0.0,13.5,25.7,19.6
20000702,2.6,0.82,1.0102,1.9,0.42,13.7,23.8,18.8
20000703,2.6,0.74,1.0088,2.91,0.66,14.4,25.3,19.8
20000704,5.4,0.81,1.0094,2.16,0.42,14.4,22.3,18.3
20000705,4.5,0.7,1.0166,2.94,0.0,13.9,23.8,18.8
20000706,4.4,0.65,1.0138,2.94,0.0,11.8,26.7,19.2
20000707,4.8,0.8,1.0129,1.86,0.04,16.2,23.3,19.8
20000708,3.6,0.72,1.0199,2.26,0.02,8.5,20.7,14.6
20000709,6.0,0.95,1.0072,0.57,2.98,12.6,17.7,15.2
20000710,5.5,0.85,1.0012,1.8,0.58,12.3,20.4,16.4
20000711,3.6,0.88,1.0084,1.38,1.02,11.1,16.7,13.9
20000712,3.6,0.7,1.019,2.79,0.04,6.3,20.4,13.4
20000713,4.9,0.86,1.0165,1.25,0.04,13.2,21.1,17.2
20000714,5.9,0.77,1.0144,1.61,0.04,13.6,20.0,16.8
20000715,4.0,0.69,1.0154,2.61,0.0,10.9,20.0,15.4
20000716,2.1,0.71,1.0186,1.83,0.0,8.6,19.0,13.8
20000717,3.2,0.7,1.0193,2.79,0.02,7.5,21.2,14.4
20000718,3.1,0.64,1.0198,2.83,0.0,9.9,22.5,16.2
20000719,3.2,0.65,1.02,2.69,0.0,11.4,24.0,17.7
20000720,3.5,0.6,1.0207,3.0,0.0,12.1,26.2,19.2
20000721,6.4,0.56,1.0198,3.3,0.0,14.0,26.1,20.0
20000722,7.1,0.63,1.0132,2.76,0.0,13.5,26.3,19.9
20000723,2.8,0.76,1.0084,1.45,0.6,14.8,25.4,20.1
20000724,4.1,0.8,1.0066,1.6,0.0,15.6,23.6,19.6
20000725,1.4,0.9,1.007,1.14,0.6,14.0,20.3,17.2
20000726,3.9,0.81,1.0111,1.85,0.48,15.4,24.3,19.8
20000727,3.2,0.88,1.016,1.14,0.1,14.9,20.1,17.5
20000728,4.4,0.78,1.0181,2.44,0.0,15.6,24.6,20.1
20000729,4.0,0.75,1.021,1.95,0.0,13.7,22.2,18.0
20000730,1.6,0.73,1.0239,3.09,0.02,12.3,24.3,18.3
20000731,2.1,0.65,1.0217,3.16,0.0,12.4,27.6,20.0
20000801,2.9,0.65,1.0175,2.92,0.0,14.5,31.1,22.8
20000802,4.5,0.65,1.0206,2.52,0.0,14.8,24.4,19.6
20000803,3.9,0.78,1.0198,2.41,0.06,13.2,23.6,18.4
20000804,3.4,0.84,1.0224,1.4,0.28,13.4,21.0,17.2
20000805,3.5,0.73,1.0245,2.49,0.02,11.4,23.3,17.3
20000806,3.0,0.77,1.025,2.23,0.0,10.9,23.6,17.2
20000807,2.0,0.75,1.0237,2.2,0.0,13.1,26.3,19.7
20000808,1.8,0.74,1.0211,1.61,0.0,14.2,25.9,20.0
20000809,2.1,0.66,1.0195,2.6,0.0,15.4,29.5,22.4
20000810,1.8,0.69,1.0174,3.0,0.02,13.0,29.0,21.0
20000811,3.1,0.62,1.0135,2.7,0.0,15.4,30.8,23.1
20000812,3.6,0.7,1.0135,2.49,0.0,16.4,30.0,23.2
20000813,2.9,0.74,1.0172,2.42,0.0,16.6,28.9,22.8
20000814,4.4,0.73,1.0208,2.29,0.0,16.9,28.7,22.8
20000815,3.2,0.69,1.0215,2.66,0.0,18.2,26.2,22.2
20000816,2.0,0.68,1.0167,2.81,0.0,11.9,27.6,19.8
20000817,3.2,0.69,1.0153,2.18,0.0,15.1,26.5,20.8
20000818,1.8,0.66,1.0118,1.82,0.0,14.3,26.7,20.5
20000819,2.4,0.81,1.0127,0.91,1.08,15.3,22.8,19.0
20000820,2.5,0.92,1.0131,0.76,0.62,14.0,19.3,16.6
20000821,2.0,0.82,1.0167,1.48,0.02,10.7,19.9,15.3
20000822,4.0,0.71,1.0166,2.59,0.0,9.2,24.0,16.6
20000823,5.0,0.68,1.0164,2.43,0.0,13.4,28.2,20.8
20000824,4.4,0.6,1.0177,2.48,0.0,15.7,32.8,24.2
20000825,5.0,0.56,1.0125,2.18,0.0,18.0,34.4,26.2
20000826,4.6,0.8,1.0121,1.27,0.38,16.9,24.3,20.6
20000827,3.8,0.76,1.0191,2.06,0.0,14.8,23.3,19.0
20000828,3.0,0.7,1.021,2.05,0.0,12.3,22.7,17.5
20000829,1.5,0.68,1.018,2.28,0.0,10.6,24.8,17.7
20000830,4.5,0.81,1.0126,0.91,3.8,14.1,22.8,18.4
20000831,2.9,0.76,1.0113,2.37,0.0,12.6,23.8,18.2
20000901,5.5,0.77,1.0087,1.77,0.38,13.5,20.7,17.1
20000902,4.8,0.82,1.0124,1.18,0.36,13.5,20.1,16.8
20000903,2.4,0.84,1.0182,1.38,0.28,11.3,20.2,15.8
20000904,1.8,0.73,1.0238,2.16,0.0,7.5,19.7,13.6
20000905,1.4,0.71,1.0236,2.22,0.0,6.7,21.4,14.0
20000906,4.4,0.84,1.0172,0.95,0.02,13.4,21.0,17.2
20000907,2.1,0.71,1.019,2.27,0.0,13.1,22.5,17.8
20000908,2.2,0.72,1.0215,2.28,0.0,14.4,25.8,20.1
20000909,3.6,0.7,1.0222,2.28,0.0,14.2,27.2,20.7
20000910,3.0,0.7,1.019,2.29,0.0,14.9,29.3,22.1
20000911,2.1,0.7,1.0134,2.13,0.0,15.2,30.9,23.0
20000912,2.9,0.86,1.0137,0.98,0.0,16.4,21.5,19.0
20000913,1.1,0.82,1.0151,0.79,0.0,14.6,20.3,17.4
20000914,1.4,0.8,1.0157,1.14,0.0,15.4,22.1,18.8
20000915,4.6,0.78,1.0122,1.93,0.06,10.8,26.4,18.6
20000916,3.5,0.78,1.0163,1.55,0.02,10.9,20.6,15.8
20000917,1.5,0.8,1.0139,1.47,0.02,7.8,19.8,13.8
20000918,4.2,0.76,1.0057,1.56,0.32,8.3,21.9,15.1
20000919,3.6,0.92,0.9985,0.37,1.26,13.1,15.6,14.4
20000920,4.0,0.82,1.0076,1.5,0.04,9.0,18.8,13.9
20000921,3.9,0.83,1.0177,1.1,0.02,6.9,19.2,13.0
20000922,2.9,0.74,1.0207,1.5,0.0,14.3,24.8,19.6
20000923,4.0,0.69,1.0149,1.97,0.0,13.9,26.5,20.2
20000924,2.8,0.84,1.0175,0.65,0.02,12.7,18.6,15.6
20000925,1.5,0.76,1.0211,1.68,0.02,10.2,22.7,16.4
20000926,3.2,0.76,1.0176,1.67,0.0,10.7,25.6,18.2
20000927,3.6,0.77,1.0164,1.19,0.38,11.2,21.3,16.2
20000928,4.8,0.92,1.0041,0.29,0.56,15.1,16.5,15.8
20000929,3.0,0.88,1.0011,0.7,0.02,13.3,17.1,15.2
20000930,2.9,0.86,1.0059,1.13,0.04,10.7,18.4,14.6
20001001,3.9,0.88,1.0071,0.83,0.14,6.9,17.0,12.0
20001002,5.5,0.75,1.0154,0.73,0.0,10.0,16.1,13.0
20001003,1.6,0.72,1.0215,1.53,0.0,8.7,19.1,13.9
20001004,1.4,0.93,1.0205,0.46,1.7,12.4,16.6,14.5
20001005,3.0,0.89,1.0215,1.15,0.06,9.1,16.3,12.7
20001006,2.5,0.82,1.0269,1.42,0.0,4.4,16.0,10.2
20001007,2.6,0.79,1.0246,1.14,0.0,5.8,15.8,10.8
20001008,3.9,0.93,1.0185,0.49,0.42,11.2,15.3,13.2
20001009,6.0,0.85,1.0072,0.91,1.5,8.0,14.1,11.0
20001010,7.6,0.82,0.9942,0.96,1.22,7.3,14.4,10.8
20001011,5.8,0.83,0.9865,1.15,0.56,9.8,16.1,13.0
20001012,5.5,0.87,0.9968,0.78,0.1,8.7,15.7,12.2
20001013,1.9,0.92,1.012,0.86,0.04,7.0,15.0,11.0
20001014,0.8,0.93,1.0157,0.61,0.0,3.6,13.3,8.4
20001015,2.0,0.9,1.0089,0.45,0.78,8.3,13.6,11.0
20001016,2.6,0.96,1.0123,0.23,1.5,9.7,11.9,10.8
20001017,0.9,0.84,1.0252,1.39,0.02,4.9,15.8,10.4
20001018,4.1,0.95,1.0206,0.44,1.14,6.2,15.7,11.0
20001019,2.1,0.96,1.019,0.29,0.2,12.6,14.2,13.4
20001020,3.1,0.95,1.0127,0.21,1.1,13.4,16.0,14.7
20001021,2.6,0.9,1.0196,0.37,0.24,14.4,16.9,15.6
20001022,3.0,0.84,1.0237,0.65,0.02,13.2,20.0,16.6
20001023,3.1,0.92,1.0225,0.54,0.02,11.1,17.9,14.5
20001024,1.5,0.89,1.0234,0.98,0.02,8.3,15.0,11.6
20001025,3.5,0.96,1.0159,0.26,0.44,6.7,15.6,11.2
20001026,2.5,0.85,1.0198,0.94,0.0,9.3,15.2,12.2
20001027,4.1,0.82,1.0212,0.56,0.0,7.9,14.6,11.2
20001028,5.6,0.79,1.0147,0.61,0.2,11.3,16.7,14.0
20001029,7.5,0.79,1.015,0.95,0.02,9.0,15.1,12.0
20001030,8.4,0.87,0.9997,0.16,1.58,7.5,13.3,10.4
20001031,6.2,0.84,1.0032,0.88,0.06,7.6,14.7,11.2
20001101,5.8,0.9,1.0052,0.49,0.64,7.5,12.8,10.2
20001102,6.1,0.82,0.9977,0.43,0.42,9.3,13.4,11.4
20001103,4.8,0.87,1.0016,0.75,0.16,6.9,12.3,9.6
20001104,2.2,0.86,1.0121,0.92,0.04,4.3,12.1,8.2
20001105,6.1,0.84,0.999,0.64,1.9,2.4,13.4,7.9
20001106,7.6,0.88,0.9762,0.42,0.98,7.6,10.9,9.2
20001107,6.1,0.86,0.9852,0.33,0.04,6.1,10.7,8.4
20001108,4.1,0.9,0.9958,0.32,0.12,7.0,10.4,8.7
20001109,3.0,0.83,1.0112,0.97,0.0,5.0,11.9,8.4
20001110,3.1,0.83,1.021,0.92,0.02,2.5,11.8,7.2
20001111,5.2,0.73,1.0175,0.78,0.0,6.5,13.3,9.9
20001112,5.8,0.88,1.0031,0.1,1.36,8.3,11.2,9.8
20001113,3.2,0.92,1.0017,0.57,0.04,7.7,12.4,10.0
20001114,4.1,0.88,1.0072,0.7,0.28,5.0,11.1,8.0
20001115,3.6,0.9,1.0138,0.63,0.0,2.8,10.9,6.8
20001116,4.5,0.93,1.0112,0.2,0.36,5.0,9.5,7.2
20001117,3.2,0.9,1.0167,0.67,0.02,1.0,9.4,5.2
20001118,4.6,0.91,1.0164,0.43,0.42,3.7,11.6,7.6
20001119,5.9,0.87,1.0047,0.51,0.4,8.5,12.0,10.2
20001120,4.4,0.88,1.0037,0.44,0.04,3.7,8.4,6.0
20001121,6.5,0.92,1.0024,0.14,1.38,4.4,12.1,8.2
20001122,3.4,0.92,1.0051,0.24,1.12,8.4,11.5,10.0
20001123,4.9,0.92,1.0015,0.23,0.08,7.4,12.2,9.8
20001124,3.6,0.91,1.0103,0.66,0.5,2.5,11.0,6.8
20001125,5.8,0.93,1.0043,0.09,1.68,7.7,12.3,10.0
20001126,5.4,0.85,1.0096,0.57,0.14,4.4,11.6,8.0
20001127,4.2,0.95,1.0146,0.15,0.36,6.6,14.2,10.4
20001128,3.4,0.9,1.0126,0.38,0.0,10.8,15.2,13.0
20001129,4.0,0.81,1.0096,0.33,0.1,10.1,16.5,13.3
20001130,3.6,0.92,1.0127,0.31,0.02,6.5,13.8,10.2
20001201,5.9,0.86,1.0103,0.17,0.7,11.1,14.6,12.8
20001202,3.1,0.96,1.0129,0.13,2.16,8.7,11.4,10.0
20001203,2.9,0.93,1.0189,0.48,0.02,4.3,11.2,7.8
20001204,5.1,0.82,1.0131,0.46,0.08,4.8,13.4,9.1
20001205,5.6,0.81,1.0091,0.18,0.38,8.0,14.4,11.2
20001206,4.4,0.87,1.0096,0.23,0.46,11.3,14.6,13.0
20001207,6.2,0.81,0.9966,0.13,0.38,7.7,18.5,13.1
20001208,6.2,0.82,1.006,0.45,0.04,8.8,13.7,11.2
20001209,5.8,0.84,1.0139,0.48,0.4,7.6,12.4,10.0
20001210,7.6,0.85,1.0183,0.26,0.06,8.4,14.5,11.4
20001211,5.6,0.85,1.0242,0.23,0.08,8.8,14.0,11.4
20001212,6.0,0.74,1.0193,0.26,0.08,10.3,13.5,11.9
20001213,6.5,0.79,1.0204,0.42,2.16,9.8,13.6,11.7
20001214,5.2,0.93,1.0109,0.14,0.8,7.2,9.7,8.4
20001215,3.8,0.89,1.0138,0.48,0.04,2.8,8.5,5.6
20001216,3.4,0.94,1.0162,0.2,0.1,0.6,7.4,4.0
20001217,3.1,0.9,1.0157,0.43,0.28,3.1,9.0,6.0
20001218,4.1,0.88,1.0159,0.34,0.02,6.5,11.3,8.9
20001219,3.4,0.9,1.016,0.36,0.02,6.8,12.2,9.5
20001220,2.8,0.91,1.0122,0.53,0.02,4.0,12.3,8.2
20001221,3.8,0.86,1.0136,0.44,0.02,5.3,13.0,9.2
20001222,5.8,0.88,1.0102,0.59,0.02,2.9,10.4,6.6
20001223,3.1,0.74,1.007,0.42,0.0,3.4,10.4,6.9
20001224,3.0,0.85,0.9973,0.22,0.82,4.1,8.9,6.5
20001225,1.9,0.97,0.9913,0.14,0.32,6.7,9.3,8.0
20001226,4.0,0.96,0.9861,0.15,0.64,5.6,9.0,7.3
20001227,4.2,0.9,0.9902,0.19,0.0,5.4,8.0,6.7
20001228,2.8,0.88,0.9995,0.23,0.12,0.1,4.8,2.4
20001229,3.6,0.9,1.0016,0.44,0.06,0.0,6.6,3.3
20001230,2.9,0.89,1.0106,0.62,0.02,-2.1,4.5,1.2
20001231,4.3,0.9,1.0142,0.39,0.92,-3.3,7.1,1.9
20010101,6.6,0.87,0.9981,0.07,1.08,2.8,9.7,6.2
20010102,7.4,0.82,0.9976,0.42,0.12,6.9,11.9,9.4
20010103,6.1,0.85,1.0061,0.41,0.2,4.3,10.1,7.2
20010104,7.4,0.84,1.0014,0.37,1.68,6.7,10.7,8.7
20010105,9.6,0.88,0.9929,0.12,0.66,8.3,13.0,10.6
20010106,3.6,0.88,1.0056,0.4,0.06,6.0,9.4,7.7
20010107,3.1,0.95,1.0119,0.26,0.36,4.3,6.7,5.5
