DATE,MALMO_wind_speed,MALMO_precipitation,MALMO_temp_min,MALMO_temp_max,MALMO_temp_mean
20000423,2.7,0.0,10.8,20.7,14.9
20000424,3.0,0.04,9.5,20.6,13.9
20000425,2.7,0.0,9.1,14.5,11.5
20000426,3.8,0.0,3.4,16.1,10.4
20000427,4.2,0.0,8.3,21.5,15.3
20000428,4.9,0.0,11.6,23.4,17.5
20000429,4.8,0.0,15.2,25.2,20.4
20000430,1.9,0.0,14.2,26.1,20.2
20000501,5.0,0.0,10.6,20.7,14.2
20000502,4.7,0.0,7.5,16.5,11.6
20000503,1.9,0.0,4.6,18.1,12.3
20000504,1.4,0.0,6.2,19.2,12.7
20000505,1.1,0.0,4.2,17.0,11.1
20000506,2.7,0.0,3.7,21.0,12.4
20000507,2.4,0.0,4.2,17.2,11.1
20000508,1.8,0.0,1.4,22.1,13.3
20000509,2.6,0.0,5.4,21.5,14.3
20000510,1.7,0.0,5.6,22.5,14.9
20000511,2.3,0.0,7.9,21.0,14.6
20000512,1.5,0.0,3.6,16.5,10.4
20000513,2.3,0.0,5.4,19.7,13.4
20000514,1.0,0.0,5.9,23.2,16.6
20000515,1.7,0.0,8.6,25.5,18.4
20000516,2.5,0.0,8.3,25.5,18.5
20000517,3.4,1.8,13.6,26.2,18.4
20000518,2.4,0.0,9.1,16.2,12.9
20000519,2.2,0.0,10.5,15.8,12.8
20000520,1.0,0.13,6.1,17.1,11.9
20000521,1.7,0.06,7.7,17.5,12.7
20000522,1.2,0.0,8.1,16.8,12.9
20000523,3.0,0.11,7.6,16.7,13.0
20000524,3.0,0.95,12.3,16.6,13.9
20000525,4.5,0.21,9.8,16.1,13.0
20000526,4.4,0.0,9.4,16.6,12.9
20000527,4.5,0.28,9.1,17.4,13.4
20000528,4.7,0.01,9.1,16.8,12.7
20000529,6.4,0.02,9.0,15.2,10.7
20000530,3.9,0.0,8.8,14.1,11.1
20000531,2.8,0.0,6.9,15.7,11.4
20000601,2.3,0.4,5.8,18.0,12.3
20000602,4.6,0.0,12.8,18.0,15.1
20000603,2.6,0.0,9.8,16.6,13.0
20000604,1.4,0.05,5.4,14.7,10.0
20000605,2.6,0.2,4.6,16.9,11.8
20000606,3.0,0.84,7.4,14.0,9.3
20000607,5.0,0.21,7.2,14.0,10.7
20000608,4.4,0.0,9.4,17.3,13.4
20000609,2.8,0.0,6.9,19.3,14.3
20000610,4.3,0.0,12.6,24.7,18.9
20000611,2.6,0.0,14.6,21.9,16.8
20000612,4.8,0.0,12.2,18.4,15.3
20000613,4.6,0.0,13.5,22.6,17.4
20000614,3.5,0.0,12.3,17.9,14.8
20000615,5.0,0.0,11.2,17.7,13.8
20000616,5.6,0.0,10.1,16.6,13.2
20000617,3.0,0.0,11.0,20.4,15.9
20000618,2.1,0.0,12.6,18.0,14.3
20000619,1.8,0.0,9.5,24.1,18.0
20000620,1.8,0.0,16.8,30.7,24.7
20000621,2.8,0.81,16.9,30.1,24.3
20000622,1.9,0.05,15.7,26.8,18.5
20000623,3.0,0.04,14.7,20.8,17.3
20000624,1.8,0.37,13.4,17.5,15.0
20000625,2.6,0.73,11.3,18.4,14.3
20000626,5.8,0.09,12.1,15.0,13.0
20000627,6.3,0.0,10.7,16.4,13.4
20000628,2.0,0.0,10.0,16.5,13.0
20000629,2.2,0.04,8.8,17.2,13.5
20000630,5.6,0.49,12.0,15.2,12.6
20000701,2.4,0.0,11.6,17.5,14.3
20000702,1.2,0.0,7.6,20.6,15.5
20000703,1.1,0.0,8.1,22.7,16.9
20000704,1.4,0.0,9.5,22.9,17.0
20000705,2.6,0.0,14.2,19.3,16.5
20000706,3.9,0.0,14.6,19.0,16.0
20000707,4.4,0.0,12.1,15.5,13.4
20000708,3.5,0.0,11.2,18.1,14.5
20000709,2.8,0.0,11.5,16.8,13.7
20000710,3.4,1.7,11.4,17.0,14.2
20000711,2.5,0.0,11.2,20.1,16.1
20000712,3.7,0.0,12.4,20.6,16.0
20000713,4.9,0.0,11.7,16.7,14.1
20000714,1.6,0.0,12.6,19.6,15.5
20000715,2.2,0.0,9.3,21.1,15.7
20000716,1.9,0.0,12.7,22.1,17.8
20000717,2.6,0.0,10.0,21.6,16.4
20000718,4.3,0.0,13.4,17.8,14.8
20000719,3.7,0.0,12.1,17.8,14.4
20000720,4.0,0.0,13.4,19.6,16.2
20000721,3.1,0.99,15.7,20.8,16.9
20000722,1.6,0.09,12.8,21.1,16.4
20000723,0.9,0.0,12.6,21.6,16.0
20000724,1.2,0.0,12.3,24.2,17.2
20000725,1.5,0.0,13.0,19.3,16.0
20000726,1.4,0.0,12.8,23.5,18.1
20000727,2.1,0.0,12.1,20.5,16.9
20000728,0.9,0.0,14.6,21.5,17.3
20000729,1.1,0.0,14.4,21.0,17.3
20000730,2.7,0.0,11.8,21.9,16.4
20000731,3.2,0.0,13.9,18.3,15.8
20000801,1.9,0.28,13.3,20.2,16.2
20000802,1.4,0.37,13.9,21.2,17.7
20000803,2.2,0.0,14.0,21.4,17.2
20000804,1.5,0.0,10.8,21.9,16.1
20000805,2.7,0.0,12.1,18.1,15.6
20000806,3.7,0.05,13.8,20.6,17.3
20000807,5.5,0.0,12.7,18.5,15.0
20000808,4.1,0.0,12.4,18.2,14.8
20000809,2.8,0.0,12.2,20.5,16.2
20000810,1.8,0.14,8.9,19.3,14.7
20000811,2.7,0.45,15.1,18.7,16.4
20000812,2.0,0.0,13.5,19.1,15.7
20000813,0.6,0.0,7.9,22.0,15.7
20000814,2.4,0.0,9.2,23.6,16.7
20000815,2.6,0.0,16.3,23.2,19.5
20000816,2.3,0.0,14.4,21.5,17.4
20000817,1.6,0.0,14.5,21.8,17.5
20000818,2.1,0.0,13.3,22.2,17.7
20000819,1.4,0.05,13.2,18.4,16.1
20000820,1.8,0.8,13.3,21.0,17.1
20000821,1.2,0.24,9.9,19.0,14.3
20000822,3.6,0.0,10.3,19.5,15.2
20000823,3.8,0.0,11.8,19.2,15.4
20000824,4.6,0.3,12.5,16.5,14.1
20000825,2.5,0.0,10.8,20.4,15.8
20000826,2.5,0.0,6.8,21.6,14.5
20000827,5.4,0.0,13.3,20.9,17.1
20000828,3.5,0.27,14.8,20.9,17.5
20000829,1.6,0.25,14.3,20.4,16.6
20000830,1.4,0.0,12.2,19.3,15.1
20000831,1.5,0.0,11.7,18.0,14.4
20000901,1.6,1.85,8.2,18.4,14.1
20000902,2.0,3.0,13.0,14.9,13.9
20000903,3.0,0.06,12.3,18.5,14.1
20000904,3.1,0.0,8.6,16.4,12.3
20000905,0.9,0.0,4.2,17.0,11.7
20000906,2.8,0.3,8.6,16.5,13.7
20000907,3.2,0.03,13.0,17.3,14.7
20000908,3.2,0.0,12.6,16.9,14.2
20000909,3.3,0.0,14.0,20.1,16.7
20000910,2.8,0.0,12.4,18.6,15.3
20000911,2.4,0.0,10.4,17.1,13.6
20000912,2.5,1.71,8.0,13.4,10.6
20000913,4.0,0.0,10.9,14.4,12.9
20000914,3.4,0.0,11.5,15.9,13.1
20000915,4.4,0.0,10.3,16.4,13.3
20000916,5.5,0.0,11.7,17.7,14.4
20000917,4.4,0.0,8.2,16.6,12.4
20000918,4.2,0.0,7.9,15.0,11.2
20000919,4.2,0.0,4.3,15.1,11.5
20000920,4.4,0.0,9.9,16.0,12.3
20000921,3.6,0.0,7.3,16.5,12.5
20000922,2.7,0.0,5.3,17.5,11.5
20000923,2.2,0.0,6.5,16.7,11.0
20000924,2.7,0.0,3.6,15.6,9.5
20000925,2.6,0.0,4.1,15.1,9.4
20000926,2.1,0.0,8.1,15.5,11.6
20000927,3.3,0.67,11.2,17.8,14.8
20000928,2.7,0.0,13.0,16.5,14.8
20000929,2.9,0.0,13.9,20.4,16.2
20000930,4.6,0.02,12.3,18.8,14.7
20001001,3.2,0.0,9.8,16.9,12.8
20001002,2.8,0.07,11.8,15.4,14.3
20001003,1.9,0.0,11.3,17.3,13.3
20001004,1.6,0.0,7.5,17.6,12.9
20001005,1.2,0.0,11.2,17.1,13.7
20001006,0.9,0.14,10.8,14.4,12.5
20001007,0.8,0.04,8.6,13.5,11.4
20001008,1.1,0.25,9.6,12.6,10.3
20001009,1.6,0.59,7.5,10.3,9.5
20001010,4.4,0.24,9.1,11.6,10.6
20001011,4.5,0.68,8.4,12.9,11.1
20001012,1.9,0.0,9.6,14.6,11.5
20001013,0.5,0.0,6.1,13.5,10.7
20001014,0.7,0.0,7.1,14.8,9.9
20001015,3.2,0.0,4.5,15.3,10.1
20001016,5.0,0.0,11.2,15.7,13.4
20001017,0.9,0.0,9.3,16.3,11.9
20001018,1.1,0.0,6.1,13.4,10.3
20001019,2.6,0.0,6.1,13.0,11.3
20001020,2.4,0.11,10.9,12.7,11.4
20001021,4.2,0.0,10.4,13.3,11.7
20001022,1.9,0.0,8.9,15.0,11.8
20001023,2.8,0.28,8.0,15.5,12.5
20001024,5.4,0.0,10.5,13.3,12.0
20001025,5.3,0.4,10.1,11.8,10.9
20001026,5.0,0.2,8.8,12.4,10.3
20001027,2.5,0.33,6.2,11.8,8.9
20001028,2.5,0.16,6.9,13.7,11.1
20001029,4.6,0.23,8.4,13.0,11.1
20001030,6.9,0.09,8.5,12.0,11.1
20001031,6.2,0.0,8.8,13.1,10.1
20001101,4.3,0.0,9.0,10.8,10.0
20001102,3.6,0.0,7.1,10.6,8.1
20001103,1.9,0.55,6.6,11.8,9.4
20001104,1.3,0.0,6.7,11.3,8.0
20001105,1.6,0.0,3.4,7.5,6.4
20001106,6.0,0.16,3.5,9.8,7.2
20001107,4.6,0.81,8.7,10.3,9.5
20001108,2.6,0.0,6.4,10.8,9.0
20001109,3.0,0.09,7.2,10.0,8.8
20001110,3.5,0.11,8.0,9.4,8.4
20001111,3.4,0.31,7.2,9.2,7.9
20001112,3.7,0.71,6.7,8.7,7.8
20001113,2.3,0.1,5.8,10.5,8.0
20001114,0.6,0.08,3.4,9.6,6.7
20001115,0.9,0.32,4.3,8.4,7.0
20001116,1.9,0.33,5.4,8.5,6.7
20001117,2.3,0.37,5.0,8.7,6.6
20001118,3.2,0.01,5.0,6.8,6.0
20001119,5.3,0.04,5.6,7.3,6.8
20001120,3.3,0.0,5.1,7.2,6.3
20001121,1.5,0.71,3.5,8.2,5.9
20001122,3.3,0.7,5.3,7.9,6.6
20001123,3.2,0.0,6.0,8.7,7.5
20001124,3.3,0.0,6.9,8.4,7.5
20001125,1.4,0.0,5.4,7.9,6.6
20001126,1.9,0.0,4.3,7.5,6.7
20001127,2.0,0.0,4.2,8.2,6.9
20001128,2.8,0.72,5.6,7.5,6.8
20001129,2.7,0.0,6.2,12.5,10.0
20001130,2.3,0.0,7.2,10.8,8.5
20001201,2.7,0.06,2.9,9.2,7.2
20001202,1.8,0.18,6.7,10.5,8.7
20001203,3.5,0.0,7.8,9.0,8.4
20001204,3.4,0.0,5.5,9.0,7.1
20001205,2.9,0.0,6.2,8.8,7.8
20001206,3.4,0.0,5.9,7.8,6.8
20001207,2.9,0.0,4.7,8.8,7.1
20001208,3.8,0.44,5.8,8.6,7.4
20001209,2.7,0.0,6.5,9.8,8.2
20001210,2.8,0.1,6.7,8.5,7.7
20001211,4.1,0.19,7.3,9.7,8.6
20001212,2.6,0.73,9.0,10.6,9.8
20001213,6.5,1.03,8.9,11.1,9.8
20001214,6.5,0.01,5.6,9.0,7.2
20001215,5.5,0.56,5.1,7.0,6.2
20001216,1.4,0.51,3.8,6.2,4.8
20001217,0.5,0.0,-2.4,3.9,-0.8
20001218,0.5,0.0,-3.8,2.0,-1.2
20001219,1.4,0.0,-1.6,1.2,-0.5
20001220,0.3,0.0,-4.8,1.4,-2.5
20001221,0.3,0.0,-4.9,0.1,-1.7
20001222,1.7,0.0,-3.8,0.2,-0.8
20001223,1.0,0.0,-1.9,2.8,0.8
20001224,1.5,0.0,-3.1,2.6,-1.1
20001225,1.7,0.0,-6.4,-1.6,-4.1
20001226,1.1,0.0,-9.0,-2.2,-5.8
20001227,1.9,0.34,-5.0,0.5,-0.6
20001228,2.0,0.54,0.5,2.8,1.9
20001229,4.2,0.0,-0.1,2.7,1.2
20001230,1.5,0.0,-1.1,2.3,0.8
20001231,3.6,0.0,-0.8,1.5,0.5
20010101,4.0,1.12,-5.2,2.8,0.7
20010102,2.3,0.17,0.4,3.9,2.9
20010103,2.6,0.19,3.2,5.8,5.0
20010104,4.2,0.15,0.4,5.6,2.9
20010105,5.2,1.0,3.0,5.8,4.7
20010106,4.0,0.2,4.6,6.2,5.4
20010107,3.9,0.0,4.0,5.4,4.9
20010108,4.0,0.0,4.1,5.8,4.6
20010109,3.7,0.05,3.9,5.2,4.4
20010110,2.2,0.0,-0.4,4.1,1.0
20010111,2.8,0.0,-5.0,3.4,1.0
20010112,1.0,0.0,-3.9,2.9,0.3
20010113,1.2,0.0,-2.8,2.6,0.1
20010114,1.5,0.0,-1.7,2.7,-0.4
20010115,1.2,0.0,-2.2,-0.5,-1.7
20010116,1.0,0.0,-2.8,-1.3,-2.0
20010117,2.0,0.0,-1.9,2.0,-0.2
20010118,3.1,0.0,-1.6,0.8,0.0
20010119,2.8,0.05,-0.5,1.8,0.4
20010120,1.4,0.0,-0.6,0.5,-0.1
20010121,2.5,0.05,-2.4,1.9,-0.3
20010122,6.0,0.05,-0.3,1.6,0.4
20010123,5.2,0.2,-0.2,2.0,1.2
20010124,5.6,0.4,1.9,6.0,4.4
20010125,2.7,0.23,1.0,5.7,2.5
20010126,2.2,0.0,2.5,4.7,3.7
20010127,2.9,0.0,1.2,5.1,2.7
20010128,2.7,0.07,1.0,3.1,2.5
20010129,1.2,0.0,0.4,3.4,1.5
20010130,2.0,0.0,-0.6,3.3,2.5
20010131,0.6,0.0,-0.6,4.0,0.8
20010201,3.3,0.0,-1.9,1.9,0.1
20010202,2.8,0.0,-9.3,-1.9,-6.6
20010203,4.5,0.65,-11.5,-5.3,-8.9
20010204,3.3,0.2,-10.4,-3.9,-7.3
20010205,6.9,0.12,-11.2,-2.2,-4.4
20010206,3.5,0.47,-2.8,6.1,3.5
20010207,3.1,0.14,4.5,7.4,5.6
20010208,3.3,0.21,3.8,9.3,6.3
20010209,2.4,0.0,0.9,7.0,2.0
20010210,1.1,0.12,-5.8,3.1,-2.1
20010211,5.3,1.34,-1.7,5.7,2.6
20010212,3.9,0.22,5.3,7.6,6.4
20010213,2.8,0.0,2.8,6.8,4.1
20010214,3.5,0.0,0.9,4.6,3.5
20010215,3.3,0.0,0.2,5.7,2.2
20010216,1.2,0.0,1.8,5.4,3.0
20010217,2.7,0.0,-5.0,3.8,-0.4
20010218,3.6,0.0,2.2,8.5,5.0
20010219,3.2,0.0,-1.6,3.9,2.6
20010220,5.5,0.0,1.5,6.4,3.8
20010221,8.7,0.0,3.9,6.6,4.9
20010222,5.6,0.0,0.9,4.0,2.0
20010223,2.4,0.0,-6.9,1.0,-5.1
20010224,1.6,0.0,-11.4,-3.4,-7.0
20010225,3.0,0.03,-3.5,4.1,0.3
20010226,1.0,0.0,-4.3,-0.1,-2.3
20010227,2.2,0.0,-3.4,1.3,-0.9
20010228,1.8,0.0,-2.7,1.8,-0.6
20010301,2.9,0.0,-1.5,1.8,0.0
20010302,1.5,0.0,-4.9,-0.2,-2.4
20010303,1.2,0.0,-4.4,-0.1,-3.1
20010304,2.1,0.0,-9.1,2.0,-3.1
20010305,1.1,0.0,-7.3,2.1,-3.1
20010306,2.5,0.0,-5.4,4.8,0.5
20010307,3.6,0.0,-7.1,4.4,-0.9
20010308,2.8,0.11,2.0,5.6,3.4
20010309,2.1,0.05,2.9,7.1,4.2
20010310,2.0,0.05,4.0,8.2,6.3
20010311,1.9,0.2,5.5,8.7,7.1
20010312,4.5,0.25,5.3,9.4,6.8
20010313,2.8,0.17,-1.2,7.4,3.2
20010314,2.5,0.0,2.1,5.0,3.2
20010315,2.0,0.3,2.0,6.9,4.0
20010316,2.8,0.0,1.1,6.4,3.6
20010317,2.8,0.0,-0.8,3.9,1.2
20010318,5.0,0.1,-1.6,1.4,-0.5
20010319,5.7,0.12,-3.1,-0.5,-2.0
20010320,2.4,0.0,-3.7,1.3,-1.3
20010321,0.6,0.0,-8.1,2.6,-2.3
20010322,2.5,0.0,-6.4,3.7,-0.8
20010323,4.7,0.0,-4.3,3.5,-0.4
20010324,6.7,0.0,-0.6,4.2,1.3
20010325,6.0,0.0,-1.3,3.7,0.7
20010326,2.8,0.0,-3.5,4.0,-0.5
20010327,2.2,0.0,-6.0,2.5,-0.9
20010328,6.9,0.0,-5.0,3.7,1.1
20010329,8.3,0.14,1.0,4.0,2.6
20010330,2.4,0.0,2.9,4.8,3.8
20010331,2.7,0.0,1.0,8.4,4.9
20010401,3.0,0.0,5.5,9.7,7.2
20010402,2.0,0.0,3.4,12.7,7.0
20010403,3.8,0.0,6.4,13.4,9.4
20010404,4.4,0.13,1.8,9.9,6.5
20010405,5.3,0.0,5.2,10.5,6.8
20010406,3.4,0.3,3.3,8.5,6.1
20010407,2.9,0.29,5.9,12.4,8.4
20010408,3.1,0.05,4.9,9.5,6.7
20010409,3.0,0.0,3.9,9.8,6.2
20010410,3.1,0.0,0.2,9.9,5.2
20010411,1.7,0.14,-1.0,11.0,5.0
20010412,5.3,0.0,2.1,6.2,3.5
20010413,3.9,0.0,0.4,6.0,2.8
20010414,2.8,0.0,-2.0,5.4,1.5
20010415,2.9,0.0,-3.8,5.7,1.9
20010416,1.0,0.0,2.3,6.9,4.5
20010417,3.0,0.32,0.3,8.0,4.6
20010418,3.1,1.13,2.9,6.3,4.2
20010419,2.7,0.0,0.4,7.8,3.5
20010420,1.5,0.0,-1.0,9.4,4.5
20010421,2.1,0.0,-2.6,11.0,5.7
20010422,2.3,0.44,-0.3,9.4,4.9
20010423,2.7,1.41,4.4,7.2,5.8
20010424,2.8,0.0,5.5,11.1,7.9
20010425,5.5,0.87,3.4,13.5,8.8
20010426,2.1,0.0,7.0,12.0,8.9
20010427,2.1,0.1,5.1,12.2,8.1
20010428,2.9,0.45,6.0,10.8,7.5
20010429,2.1,0.17,4.0,13.1,9.1
20010430,2.5,0.0,4.6,17.4,11.4
20010501,2.9,0.0,5.2,12.3,9.2
20010502,1.9,0.0,6.1,16.7,10.9
20010503,4.0,0.0,3.7,18.8,12.6
20010504,3.8,0.0,9.5,16.8,10.9
20010505,3.2,0.0,6.6,12.6,9.8
20010506,2.8,0.0,4.6,16.9,10.2
20010507,2.0,0.0,3.6,13.1,8.6
20010508,2.7,0.0,5.7,19.2,12.6
20010509,0.9,0.0,3.2,19.9,13.3
20010510,2.1,0.0,6.0,22.8,15.0
20010511,2.2,0.0,4.2,20.2,13.0
20010512,1.6,0.0,7.3,20.8,15.2
20010513,2.3,0.0,9.1,22.0,16.3
20010514,1.5,0.0,7.9,21.8,15.9
20010515,1.1,0.0,6.2,20.6,12.2
20010516,2.5,0.24,8.0,18.8,13.5
20010517,3.0,0.28,11.1,17.7,14.4
20010518,4.8,0.02,8.3,16.0,11.5
20010519,7.4,0.0,7.2,13.0,10.1
20010520,5.1,0.0,7.8,15.4,11.4
20010521,3.0,0.0,8.9,16.9,12.2
20010522,1.6,0.0,3.4,18.0,11.4
20010523,2.7,0.0,7.4,19.5,14.4
20010524,3.1,0.0,10.1,17.1,13.3
20010525,1.8,0.0,9.2,18.6,13.8
20010526,1.8,0.0,4.7,18.4,12.8
20010527,3.3,0.15,11.1,19.7,15.5
20010528,4.9,0.04,13.0,20.7,15.7
20010529,4.1,0.72,11.0,17.1,12.9
20010530,3.1,0.3,10.9,14.0,12.0
20010531,1.2,0.02,7.7,15.0,11.4
20010601,2.2,0.17,8.0,16.0,12.0
20010602,3.0,0.4,9.3,14.5,11.4
20010603,1.5,0.22,9.4,13.2,10.7
20010604,3.1,0.04,9.2,16.4,12.4
20010605,2.7,0.11,10.3,13.8,12.1
20010606,1.8,0.03,9.0,18.5,14.1
20010607,3.8,0.05,9.8,16.3,12.7
20010608,3.0,0.0,8.7,15.4,12.0
20010609,2.2,0.0,7.2,15.5,11.4
20010610,0.8,0.0,5.1,15.5,10.7
20010611,3.9,0.0,7.1,14.8,11.5
20010612,3.9,0.0,10.0,16.1,13.0
20010613,3.0,0.0,8.6,16.1,12.1
20010614,2.0,0.0,8.9,17.4,12.9
20010615,1.3,0.56,7.8,17.9,13.3
20010616,1.8,0.35,9.9,16.0,12.0
20010617,1.8,0.0,9.3,18.7,14.1
20010618,3.3,0.0,8.5,19.2,15.2
20010619,4.0,0.0,12.7,19.5,15.5
20010620,2.8,0.05,11.7,20.4,15.7
20010621,1.7,0.0,12.9,19.5,15.5
20010622,1.6,0.33,11.1,18.2,14.2
20010623,4.5,0.0,13.0,19.7,16.2
20010624,4.2,0.0,14.7,20.7,17.1
20010625,3.2,0.0,12.7,20.0,15.9
20010626,2.2,0.0,13.6,22.5,18.3
20010627,1.5,0.0,9.8,25.3,18.9
20010628,2.3,0.0,14.0,21.9,17.7
20010629,2.1,0.0,14.9,22.8,18.8
20010630,1.8,1.55,14.3,24.9,19.9
20010701,3.5,0.0,15.6,21.8,17.6
20010702,2.7,0.0,14.3,21.1,17.3
20010703,0.9,0.0,9.2,24.0,18.4
20010704,2.2,0.0,10.0,24.4,18.7
20010705,1.5,0.0,9.2,26.1,19.4
20010706,1.5,0.0,11.5,28.4,21.6
20010707,3.5,0.0,15.4,29.7,23.2
20010708,3.3,0.15,18.9,29.6,23.7
20010709,2.7,0.11,18.7,22.7,20.0
20010710,2.9,0.85,16.4,23.0,19.4
20010711,3.7,0.2,13.9,20.8,16.8
20010712,5.0,0.5,14.4,19.3,16.3
20010713,3.0,0.0,12.2,19.0,15.4
20010714,2.2,0.0,11.8,20.5,16.6
20010715,3.2,0.0,15.4,20.8,17.9
20010716,1.2,0.52,13.0,18.0,14.5
20010717,1.1,0.0,9.8,20.4,15.7
20010718,0.8,0.0,11.4,21.6,16.1
20010719,2.3,0.03,13.7,23.5,18.5
20010720,1.7,0.0,13.7,23.3,19.0
20010721,2.0,0.0,13.4,22.0,18.1
20010722,1.9,0.0,13.2,23.8,18.9
20010723,1.0,0.0,16.1,25.0,20.5
20010724,0.8,0.0,11.9,26.8,20.2
