DATE,DE_BILT_cloud_cover,DE_BILT_wind_speed,DE_BILT_wind_gust,DE_BILT_humidity,DE_BILT_pressure,DE_BILT_global_radiation,DE_BILT_precipitation,DE_BILT_sunshine,DE_BILT_temp_min,DE_BILT_temp_max,DE_BILT_temp_mean
20000214,5,3.7,10.0,0.88,1.0195,0.66,0.25,4.5,-0.8,8.0,4.5
20000215,7,3.5,10.0,0.86,1.0118,0.51,0.18,2.6,4.3,9.1,6.6
20000216,6,5.4,16.0,0.79,0.9994,0.82,1.45,6.3,0.3,6.3,3.7
20000217,6,4.4,16.0,0.78,1.0073,0.77,0.1,5.5,0.9,7.9,3.6
20000218,8,4.8,13.0,0.89,1.0008,0.26,0.72,0.1,0.8,8.4,4.9
20000219,6,4.6,14.0,0.86,1.0087,0.35,0.09,0.7,1.3,6.8,4.8
20000220,3,2.3,11.0,0.84,1.0275,1.04,0.0,8.5,-2.8,7.8,2.2
20000221,7,2.8,8.0,0.91,1.0274,0.69,0.06,4.0,-3.7,6.0,2.2
20000222,7,2.1,7.0,0.96,1.0248,0.48,0.0,1.7,-0.7,6.5,2.8
20000223,4,2.8,9.0,0.88,1.0232,0.87,0.0,5.8,-1.5,10.0,5.1
20000224,8,4.6,11.0,0.82,1.0202,0.48,1.19,1.6,4.3,9.7,7.8
20000225,3,3.4,11.0,0.83,1.025,1.08,1.12,8.1,2.9,9.2,5.4
20000226,2,2.7,7.0,0.82,1.0305,1.1,0.0,8.1,-0.7,9.5,3.4
20000227,7,5.5,13.0,0.72,1.0203,1.07,0.0,7.6,0.6,12.3,7.6
20000228,6,6.7,18.0,0.8,1.0108,0.37,0.12,0.5,5.3,12.7,9.2
20000229,6,6.9,18.0,0.87,1.0036,0.59,1.11,2.2,3.9,8.8,6.5
20000301,6,4.3,13.0,0.83,1.0046,0.88,0.32,4.1,2.6,8.2,5.3
20000302,6,6.8,20.0,0.86,1.0149,0.71,1.62,2.4,1.4,8.2,4.9
20000303,7,6.9,21.0,0.82,1.0034,0.78,1.4,2.9,3.3,10.2,6.9
20000304,4,4.3,19.0,0.81,1.021,1.1,0.39,5.9,-0.2,5.4,1.9
20000305,6,3.5,11.0,0.85,1.0305,1.07,0.07,5.4,-0.4,7.5,3.2
20000306,6,6.5,14.0,0.85,1.0257,0.51,0.0,0.7,3.1,8.4,6.3
20000307,8,6.3,15.0,0.89,1.0205,0.69,0.31,1.9,7.5,12.9,9.6
20000308,8,7.3,16.0,0.9,1.0175,0.37,1.18,0.0,9.5,12.9,11.1
20000309,8,6.5,17.0,0.84,1.0206,0.48,0.33,0.4,6.4,13.6,10.7
20000310,6,3.0,11.0,0.87,1.0244,0.79,0.1,2.4,0.7,9.9,6.5
20000311,7,5.3,15.0,0.84,1.0182,0.84,0.12,2.7,5.3,11.6,8.7
20000312,5,2.0,7.0,0.82,1.0257,1.22,0.0,5.9,3.9,12.3,7.7
20000313,7,2.8,7.0,0.93,1.024,0.53,0.0,0.5,3.9,10.3,7.7
20000314,7,5.0,17.0,0.86,1.0195,0.64,0.44,1.1,3.6,10.2,7.8
20000315,5,4.8,13.0,0.75,1.0287,1.09,0.02,4.4,2.0,8.7,6.0
20000316,7,3.3,11.0,0.89,1.0299,0.41,0.02,0.0,4.9,10.4,8.0
20000317,8,3.4,11.0,0.84,1.0298,0.53,0.0,0.4,4.7,10.8,8.2
20000318,8,4.8,14.0,0.86,1.0297,0.87,0.37,2.4,5.5,9.1,7.0
20000319,7,3.0,8.0,0.85,1.0339,1.39,0.01,6.5,1.4,10.4,5.8
20000320,6,1.5,6.0,0.91,1.0294,0.88,0.0,2.3,-1.1,10.9,5.1
20000321,6,1.0,4.0,0.87,1.0232,0.44,0.0,0.0,1.4,10.1,6.0
20000322,3,1.5,4.0,0.81,1.0171,1.75,0.0,9.4,-0.7,15.8,7.2
20000323,6,2.6,7.0,0.85,1.0139,1.71,0.0,8.8,0.9,13.4,7.2
20000324,7,2.7,8.0,0.91,1.0082,0.46,0.44,0.0,4.9,12.3,8.8
20000325,7,2.5,12.0,0.88,1.0114,1.05,0.4,3.1,5.2,11.8,8.6
20000326,6,2.8,11.0,0.87,1.0085,1.3,0.33,4.9,4.4,10.5,6.3
20000327,6,3.5,12.0,0.86,1.0113,0.84,0.06,1.6,3.2,9.1,5.6
20000328,7,4.7,12.0,0.85,1.0175,0.49,0.0,0.0,2.5,5.2,4.1
20000329,8,5.9,12.0,0.86,1.0154,0.49,0.0,0.0,4.2,7.8,5.9
20000330,8,3.6,10.0,0.87,1.011,0.5,0.0,0.0,5.6,7.8,6.5
20000331,8,1.3,4.0,0.84,1.0066,0.51,0.0,0.0,4.6,7.8,6.1
20000401,7,1.3,7.0,0.86,1.0038,0.69,0.06,0.6,3.0,8.9,6.2
20000402,7,3.9,8.0,0.78,1.001,1.21,0.11,3.6,4.7,14.3,10.0
20000403,7,4.0,8.0,0.7,0.9906,1.55,0.0,6.0,6.8,16.8,11.9
20000404,7,4.8,16.0,0.81,0.9921,0.98,0.01,2.0,4.7,16.0,10.1
20000405,6,6.1,14.0,0.62,1.0131,1.0,0.0,2.1,1.7,7.7,4.8
20000406,3,3.3,10.0,0.74,1.0301,1.89,0.0,8.4,-2.0,10.9,4.8
20000407,2,2.0,7.0,0.78,1.0331,2.18,0.0,10.7,-1.3,13.1,5.5
20000408,6,1.8,6.0,0.68,1.0237,1.33,0.0,4.0,-2.2,12.8,6.6
20000409,2,5.4,13.0,0.61,1.0147,2.22,0.0,10.8,4.1,15.5,9.3
20000410,1,4.2,10.0,0.6,1.0124,2.45,0.0,12.6,1.5,10.4,5.9
20000411,5,2.3,10.0,0.68,0.9957,1.95,0.0,8.3,-2.4,12.4,6.1
20000412,7,5.3,15.0,0.8,0.9889,1.3,0.67,3.5,3.9,8.5,6.2
20000413,7,5.3,17.0,0.84,0.992,1.11,0.23,2.3,3.4,9.2,5.9
20000414,7,3.1,10.0,0.82,0.9992,1.71,0.0,6.2,2.6,11.7,6.9
20000415,8,4.9,15.0,0.8,0.9946,0.98,0.39,1.5,5.5,13.6,8.9
20000416,6,4.7,15.0,0.65,0.9985,1.9,0.01,7.4,5.4,13.3,9.3
20000417,6,5.2,16.0,0.77,0.999,1.68,0.42,5.7,6.7,15.0,10.7
20000418,4,4.5,11.0,0.73,1.0073,2.1,0.0,8.7,6.1,15.7,10.6
20000419,4,3.0,8.0,0.75,1.0098,1.98,0.0,7.7,5.2,18.0,11.9
20000420,7,4.0,12.0,0.76,1.0124,1.61,0.0,5.0,6.3,17.4,13.4
20000421,7,3.5,11.0,0.73,1.0141,1.65,0.05,5.2,9.9,18.2,13.7
20000422,8,2.7,9.0,0.81,1.0108,0.78,0.39,0.4,9.2,18.1,13.3
20000423,8,2.0,8.0,0.95,1.0096,0.64,0.89,0.0,8.6,13.3,11.1
20000424,5,1.9,6.0,0.82,1.0131,1.63,0.0,4.9,6.5,17.0,11.3
20000425,5,4.2,12.0,0.66,1.011,1.69,0.0,5.2,6.8,20.6,14.9
20000426,4,3.7,12.0,0.74,1.0083,2.13,0.04,8.2,10.2,22.4,14.9
20000427,7,2.8,9.0,0.81,1.01,1.18,0.04,2.1,10.8,19.5,15.2
20000428,4,2.5,7.0,0.83,1.0061,2.45,0.0,10.4,8.4,23.0,15.8
20000429,8,2.3,8.0,0.91,1.0157,0.66,0.59,0.0,10.6,14.4,11.9
20000430,8,1.9,5.0,0.89,1.0218,0.67,0.02,0.0,10.9,14.9,12.5
20000501,8,3.4,9.0,0.88,1.0227,1.09,0.0,1.7,9.6,17.1,12.8
20000502,8,4.4,10.0,0.92,1.023,0.68,0.0,0.0,9.1,12.0,10.4
20000503,8,3.3,7.0,0.9,1.0206,0.68,0.0,0.0,10.0,14.0,12.0
20000504,6,3.8,9.0,0.85,1.0199,1.98,0.0,6.9,10.4,19.3,13.4
20000505,1,3.8,10.0,0.56,1.0157,2.98,0.0,14.0,8.9,25.3,18.1
20000506,2,3.8,10.0,0.54,1.0139,2.48,0.0,10.2,12.3,26.5,20.1
20000507,3,3.3,8.0,0.63,1.0147,2.56,0.06,10.7,13.4,27.5,19.2
20000508,5,2.0,9.0,0.73,1.0173,2.43,0.0,9.7,10.4,25.7,19.3
20000509,4,1.7,5.0,0.74,1.0176,2.35,0.0,9.1,13.6,25.6,19.6
20000510,4,2.4,10.0,0.73,1.0168,1.89,0.0,6.0,13.2,27.0,19.8
20000511,5,4.4,11.0,0.62,1.0187,2.82,0.0,12.3,13.1,25.1,18.4
20000512,4,3.8,10.0,0.57,1.0201,2.9,0.0,12.8,11.3,26.0,18.9
20000513,3,3.0,10.0,0.5,1.0222,2.77,0.0,11.8,11.2,25.3,18.1
20000514,1,1.8,6.0,0.56,1.023,3.16,0.0,14.6,8.7,27.1,19.2
20000515,5,2.1,8.0,0.61,1.0187,2.99,0.0,13.3,10.7,28.9,20.8
20000516,5,2.9,24.0,0.75,1.0126,2.46,2.1,9.5,12.4,29.6,20.2
20000517,7,5.5,17.0,0.74,1.0107,1.86,0.12,5.5,10.5,16.8,13.7
20000518,6,4.8,19.0,0.76,1.0063,1.88,0.35,5.6,8.2,15.2,11.4
20000519,7,3.4,13.0,0.86,1.0063,1.1,0.4,1.3,6.3,13.6,10.3
20000520,4,2.7,10.0,0.76,1.0116,2.4,0.04,8.9,5.4,16.1,10.8
20000521,8,2.3,7.0,0.92,1.0073,0.75,0.58,0.0,5.6,12.3,10.0
20000522,5,2.0,6.0,0.85,1.0148,1.52,0.03,3.4,6.4,15.7,11.4
20000523,7,3.8,11.0,0.85,1.0163,1.05,0.43,1.0,6.8,18.6,13.8
20000524,8,2.6,10.0,0.83,1.0127,1.47,0.7,3.1,11.5,18.8,14.0
20000525,6,5.7,13.0,0.81,1.0096,1.86,0.49,5.3,10.3,15.3,13.2
20000526,7,3.6,8.0,0.75,1.0116,1.31,0.4,2.2,8.2,17.3,13.6
20000527,6,7.2,22.0,0.71,1.0082,2.08,0.06,6.6,10.2,17.0,12.4
20000528,7,7.2,26.0,0.88,1.001,0.91,1.85,0.4,7.0,13.3,9.4
20000529,5,3.8,13.0,0.84,1.0116,2.22,0.79,7.4,5.4,14.8,10.1
20000530,6,2.1,11.0,0.86,1.0143,1.9,0.08,5.4,3.6,15.0,9.8
20000531,4,1.8,7.0,0.69,1.0192,2.84,0.0,11.5,3.8,18.9,12.5
20000601,6,4.1,13.0,0.82,1.0187,1.41,0.08,2.2,10.4,19.8,15.1
20000602,4,2.9,9.0,0.8,1.0187,2.79,0.0,10.7,11.1,21.5,16.4
20000603,6,2.4,8.0,0.83,1.0177,2.2,1.14,6.6,9.9,25.2,18.1
20000604,5,3.5,10.0,0.81,1.0167,2.34,0.02,7.5,8.7,21.8,16.7
20000605,7,2.0,7.0,0.93,1.0172,1.44,0.57,2.3,7.1,16.0,12.3
20000606,7,2.8,9.0,0.86,1.0184,1.35,1.83,1.9,10.1,16.3,12.8
20000607,5,3.3,11.0,0.8,1.0224,2.3,0.02,7.2,6.0,16.6,12.3
20000608,2,3.8,12.0,0.66,1.019,3.39,0.0,15.3,5.5,22.2,15.5
20000609,2,3.8,10.0,0.67,1.0112,3.19,0.0,13.6,13.7,29.6,21.2
20000610,6,2.8,8.0,0.79,1.0158,2.37,0.0,7.6,10.8,20.7,16.6
20000611,5,2.7,9.0,0.78,1.0184,2.42,0.0,7.9,8.2,19.5,14.8
20000612,5,4.2,11.0,0.83,1.0246,2.14,0.0,6.1,10.9,21.2,16.2
20000613,7,3.4,9.0,0.85,1.0247,1.32,0.0,1.7,14.1,19.8,16.9
20000614,8,4.1,11.0,0.87,1.0228,1.41,0.41,2.1,15.1,20.5,17.2
20000615,5,3.3,10.0,0.77,1.0245,2.28,0.01,7.0,8.8,19.2,15.1
20000616,3,2.8,8.0,0.7,1.0291,3.16,0.0,13.3,6.0,18.2,13.2
20000617,1,2.3,6.0,0.64,1.0297,3.38,0.0,15.1,6.0,21.2,14.9
20000618,2,2.2,7.0,0.58,1.0247,3.4,0.0,15.2,8.7,28.7,21.1
20000619,0,3.5,10.0,0.59,1.0176,3.41,0.0,15.3,17.4,33.5,25.7
20000620,2,2.5,11.0,0.69,1.0126,3.35,0.0,14.8,17.8,33.6,25.9
20000621,6,4.2,13.0,0.73,1.0124,1.96,0.1,5.0,16.2,26.9,20.5
20000622,6,4.4,14.0,0.76,1.0138,1.73,0.34,3.7,13.4,20.0,16.3
20000623,7,4.9,14.0,0.84,1.0149,1.41,0.59,2.1,12.1,19.8,15.1
20000624,6,3.4,11.0,0.84,1.0147,1.84,0.83,4.3,11.4,17.6,13.5
20000625,7,3.4,11.0,0.8,1.0188,1.05,0.08,0.7,10.4,15.1,12.7
20000626,5,3.4,12.0,0.69,1.024,1.94,0.0,4.9,7.1,16.1,12.4
20000627,4,2.7,8.0,0.73,1.0235,2.6,0.0,9.2,5.0,17.5,12.3
20000628,5,2.6,10.0,0.72,1.0204,2.4,0.0,7.8,6.1,17.2,12.4
20000629,5,3.0,9.0,0.65,1.0199,2.57,0.0,9.0,8.3,17.5,13.2
20000630,3,2.0,9.0,0.72,1.0157,2.9,0.0,11.4,5.5,19.4,13.7
20000701,8,2.2,5.0,0.87,1.0111,0.82,0.27,0.1,8.5,16.5,13.6
20000702,7,1.9,5.0,0.81,1.0105,1.75,0.0,3.9,14.1,24.9,19.0
20000703,5,2.0,8.0,0.77,1.0091,2.25,0.36,6.9,13.1,24.5,19.4
20000704,7,2.1,7.0,0.84,1.0063,1.64,0.67,3.3,12.2,23.5,17.6
20000705,8,2.4,8.0,0.93,1.012,0.86,0.75,0.2,14.3,19.1,15.8
20000706,7,2.3,8.0,0.78,1.0194,1.8,0.0,4.2,13.2,20.2,16.5
20000707,7,5.0,12.0,0.73,1.0163,1.53,0.0,2.8,10.5,17.0,14.0
20000708,7,2.7,9.0,0.86,1.0146,0.94,0.12,0.4,6.4,15.8,12.7
20000709,8,4.5,11.0,0.94,0.9996,0.73,0.71,0.0,12.6,14.9,13.8
20000710,7,5.3,13.0,0.82,0.9899,2.09,0.76,6.0,12.0,19.8,15.2
20000711,7,4.2,13.0,0.87,0.9992,1.11,0.26,1.0,11.7,16.0,13.3
20000712,4,3.5,11.0,0.68,1.013,3.09,0.0,13.3,9.5,17.7,13.9
20000713,8,3.1,9.0,0.92,1.0095,0.96,0.91,0.5,11.4,17.6,14.5
20000714,7,3.1,13.0,0.87,1.0065,1.47,0.77,2.6,10.4,16.8,13.2
20000715,7,3.0,10.0,0.87,1.0101,1.54,0.86,3.0,10.6,16.1,12.8
20000716,7,3.0,10.0,0.84,1.0145,1.36,0.0,2.1,12.5,18.2,14.2
20000717,8,2.6,8.0,0.86,1.0187,1.24,0.03,1.6,12.0,16.2,13.6
20000718,7,3.0,8.0,0.78,1.0194,1.39,0.0,2.3,12.5,17.2,14.0
20000719,6,3.1,10.0,0.78,1.0198,1.85,0.01,4.8,10.8,20.2,16.1
20000720,4,2.4,9.0,0.76,1.0217,2.8,0.0,11.4,9.1,22.2,16.3
20000721,5,3.3,8.0,0.8,1.0241,1.48,0.0,2.8,11.2,17.6,14.6
20000722,6,2.8,8.0,0.88,1.0207,1.51,0.0,3.0,10.5,19.8,15.1
20000723,5,3.5,9.0,0.85,1.0156,2.37,0.0,8.4,13.6,21.3,16.5
20000724,7,4.9,11.0,0.82,1.0057,1.84,0.0,4.9,14.6,23.8,18.4
20000725,8,3.6,10.0,0.88,1.0053,1.3,0.03,2.0,14.2,21.6,17.0
20000726,8,1.4,5.0,0.87,1.0108,0.69,0.0,0.0,13.6,17.8,15.5
20000727,6,1.6,5.0,0.85,1.0139,1.72,0.58,4.3,10.1,21.6,16.5
20000728,6,2.4,11.0,0.86,1.0134,2.03,0.0,6.3,11.5,22.1,17.0
20000729,5,2.0,7.0,0.93,1.0158,1.28,2.77,2.0,11.7,20.6,15.9
20000730,5,1.8,8.0,0.87,1.0215,2.18,0.0,7.4,10.9,22.2,16.8
20000731,4,2.0,6.0,0.81,1.0231,2.66,0.0,11.1,11.6,23.2,18.3
20000801,5,2.5,8.0,0.77,1.0172,2.09,0.39,6.9,15.3,27.7,21.0
20000802,4,4.1,11.0,0.78,1.0149,2.69,0.0,11.5,13.4,22.9,18.2
20000803,6,3.4,10.0,0.81,1.0156,2.04,0.72,6.7,13.1,22.5,17.3
20000804,4,1.8,6.0,0.84,1.0207,1.79,0.0,5.1,10.6,21.8,16.5
20000805,3,1.8,6.0,0.82,1.0241,2.11,0.0,7.3,11.7,21.7,16.6
20000806,5,2.4,8.0,0.85,1.0224,1.79,0.0,5.2,10.5,22.4,17.5
20000807,7,2.0,7.0,0.81,1.0222,1.95,0.0,6.3,15.3,22.4,18.6
20000808,5,2.5,8.0,0.85,1.0206,2.01,0.12,6.8,13.0,22.3,17.3
20000809,5,2.0,8.0,0.8,1.0199,2.22,0.0,8.4,10.7,23.8,18.4
20000810,7,3.2,10.0,0.86,1.0152,0.87,0.06,0.6,16.8,20.9,18.7
20000811,5,2.0,7.0,0.75,1.0155,1.85,0.0,5.9,12.8,23.5,18.9
20000812,1,1.5,6.0,0.77,1.0154,2.62,0.0,11.9,9.7,23.9,17.6
20000813,3,2.8,9.0,0.73,1.0167,2.16,0.0,8.3,11.9,28.9,21.7
20000814,7,2.8,9.0,0.82,1.0178,1.62,0.23,4.6,17.8,27.1,21.7
20000815,6,3.4,9.0,0.83,1.0185,1.17,0.0,2.0,11.7,22.4,18.2
20000816,7,3.3,14.0,0.77,1.0148,2.03,0.0,7.6,12.5,23.4,18.3
20000817,4,4.1,14.0,0.77,1.0123,2.31,0.02,9.9,11.5,23.3,17.9
20000818,6,2.4,8.0,0.75,1.0138,1.89,0.04,6.7,10.9,23.0,17.6
20000819,7,2.3,10.0,0.84,1.0116,1.32,0.28,3.0,14.1,24.0,18.6
20000820,6,2.3,9.0,0.82,1.0126,1.81,1.16,6.3,12.3,23.9,17.5
20000821,5,2.0,6.0,0.83,1.0153,1.86,0.22,6.8,10.7,20.3,15.6
20000822,4,1.5,7.0,0.84,1.0204,1.83,0.0,6.6,8.6,21.2,15.3
20000823,1,3.2,8.0,0.75,1.0246,2.52,0.0,12.5,9.5,21.3,15.5
20000824,3,1.7,7.0,0.7,1.0241,2.54,0.0,12.8,7.4,22.9,15.6
20000825,4,2.1,7.0,0.85,1.0222,1.36,0.0,3.6,9.7,21.2,16.3
20000826,5,4.3,13.0,0.72,1.0119,2.23,0.0,10.3,12.6,26.2,19.5
20000827,7,1.8,7.0,0.94,1.0145,0.54,0.65,0.0,12.8,20.5,16.7
20000828,4,2.3,13.0,0.91,1.0184,1.42,0.45,4.2,9.3,19.9,14.4
20000829,4,2.2,7.0,0.86,1.0196,1.59,0.0,5.5,8.7,21.4,14.6
20000830,3,1.5,7.0,0.83,1.0182,2.08,0.0,9.6,6.8,20.2,13.9
20000831,4,1.7,5.0,0.83,1.0121,1.96,0.0,8.7,7.7,20.2,14.4
20000901,7,3.3,11.0,0.82,1.003,1.24,0.44,3.8,11.3,21.1,15.7
20000902,7,2.7,9.0,0.91,1.0035,1.01,0.62,2.3,12.4,18.1,14.5
20000903,7,3.0,11.0,0.77,1.0139,1.21,0.43,3.7,12.3,18.6,14.9
20000904,7,2.3,9.0,0.85,1.0212,0.63,0.03,0.4,10.6,16.6,13.8
20000905,7,2.8,8.0,0.81,1.0212,1.31,0.02,4.6,9.2,21.3,15.4
20000906,7,5.0,15.0,0.85,1.0093,0.77,0.28,1.1,13.2,17.1,15.1
20000907,7,3.9,14.0,0.74,1.0141,1.01,0.0,2.6,14.8,18.6,15.9
20000908,8,4.3,10.0,0.94,1.0188,0.48,0.07,0.0,15.1,19.2,17.4
20000909,7,2.0,7.0,0.96,1.0233,0.63,0.78,0.5,13.7,20.1,17.3
20000910,5,1.2,5.0,0.92,1.023,0.87,0.0,1.9,11.6,23.2,17.0
20000911,3,2.5,8.0,0.88,1.0173,1.89,0.0,10.5,12.4,23.9,18.4
20000912,5,3.2,9.0,0.89,1.0106,0.63,0.0,0.6,14.2,21.1,17.6
20000913,6,2.5,10.0,0.87,1.0129,1.36,0.0,5.8,10.4,20.6,16.0
20000914,6,1.4,6.0,0.89,1.0152,1.0,0.0,3.0,9.4,21.0,15.2
20000915,7,2.7,13.0,0.89,1.0101,0.99,1.93,3.0,11.7,21.4,16.6
20000916,5,2.8,13.0,0.88,1.0039,1.08,0.04,3.8,12.1,20.1,15.5
20000917,5,1.6,6.0,0.97,1.01,0.67,0.43,1.0,8.8,16.2,13.0
20000918,7,3.7,10.0,0.84,1.0066,1.22,0.0,5.2,12.2,20.3,15.9
20000919,5,5.2,14.0,0.77,1.0023,1.77,0.0,10.7,13.0,22.1,17.4
20000920,8,2.7,11.0,0.92,1.0069,0.41,0.17,0.0,13.1,17.0,14.8
20000921,5,2.0,6.0,0.9,1.0163,1.13,0.01,4.7,10.5,18.5,13.7
20000922,5,3.1,9.0,0.87,1.0219,1.26,0.0,6.0,9.0,21.1,15.4
20000923,5,3.8,9.0,0.82,1.0225,1.67,0.0,10.4,12.2,20.8,16.5
20000924,5,4.0,12.0,0.79,1.0177,1.57,0.06,9.6,9.7,20.0,14.7
20000925,5,2.4,8.0,0.86,1.0209,1.26,0.03,6.5,11.4,20.5,15.2
20000926,7,2.8,8.0,0.84,1.0172,0.94,0.65,3.6,13.1,23.2,16.9
20000927,6,3.7,10.0,0.82,1.0136,1.22,0.31,6.4,13.9,20.3,16.1
20000928,8,4.3,11.0,0.89,1.0045,0.36,0.33,0.0,14.6,17.2,15.8
20000929,7,2.3,7.0,0.89,1.0031,0.52,0.01,0.7,14.5,19.6,16.9
20000930,7,2.1,6.0,0.9,1.0054,0.83,0.23,3.0,12.9,19.6,15.9
20001001,7,1.6,6.0,0.98,1.0058,0.35,0.61,0.0,10.3,16.3,13.8
20001002,4,2.9,8.0,0.92,1.0065,1.1,0.03,5.8,9.7,16.7,12.4
20001003,5,3.0,8.0,0.85,1.0198,0.9,0.0,4.0,7.9,16.6,12.7
20001004,7,2.9,9.0,0.92,1.0195,0.33,0.13,0.0,9.2,15.6,12.2
20001005,7,2.8,13.0,0.91,1.0164,0.67,0.48,2.1,8.4,18.0,12.1
20001006,6,2.5,13.0,0.89,1.0215,0.98,0.81,5.1,4.9,14.0,9.2
20001007,2,2.2,7.0,0.86,1.0228,1.36,0.0,9.8,3.9,14.5,8.4
20001008,7,3.8,10.0,0.94,1.0139,0.31,0.46,0.0,5.5,12.6,10.1
20001009,5,3.7,14.0,0.86,1.0059,1.03,0.1,6.1,3.0,14.6,9.6
20001010,6,6.9,17.0,0.86,0.9858,0.66,0.8,2.4,7.7,12.1,9.4
20001011,5,7.1,19.0,0.82,0.9792,0.86,0.87,4.5,7.8,13.6,10.4
20001012,4,5.1,13.0,0.8,0.9954,1.06,0.17,7.0,8.8,15.2,11.7
20001013,4,3.2,10.0,0.87,1.0096,1.15,0.0,8.4,6.7,16.4,11.6
20001014,8,2.0,6.0,0.97,1.0172,0.34,0.0,0.2,6.2,12.3,9.8
20001015,8,2.7,10.0,0.98,1.011,0.31,0.04,0.1,7.8,12.7,10.3
20001016,8,4.9,19.0,0.93,1.0049,0.36,0.46,0.4,10.7,15.5,12.3
20001017,3,3.2,9.0,0.89,1.0213,1.04,0.03,7.7,4.1,15.6,10.2
