DATE,ROMA_cloud_cover,ROMA_humidity,ROMA_pressure,ROMA_global_radiation,ROMA_sunshine,ROMA_temp_min,ROMA_temp_max,ROMA_temp_mean
20000216,6,0.89,1.0119,0.92,4.7,11.1,21.1,11.6
20000217,7,0.76,1.0035,1.18,4.5,11.1,21.1,7.0
20000218,1,0.62,1.0147,1.51,9.7,11.1,21.1,4.8
20000219,7,0.83,1.0101,0.97,5.7,11.1,21.1,9.7
20000220,2,0.79,1.0099,1.53,8.8,2.6,14.4,8.5
20000221,2,0.56,1.0208,1.54,9.5,1.6,12.8,7.2
20000222,4,0.77,1.0237,1.2,6.4,0.0,11.2,5.6
20000223,2,0.77,1.0233,1.48,8.9,0.2,11.2,5.7
20000224,1,0.64,1.0275,1.59,9.5,11.1,21.1,5.1
20000225,1,0.76,1.0308,1.55,9.8,11.1,21.1,5.6
20000226,8,0.91,1.03,0.58,0.0,5.6,13.2,9.4
20000227,6,0.88,1.0296,0.91,1.8,6.4,14.6,10.5
20000228,3,0.82,1.031,1.52,8.0,4.6,15.8,10.2
20000229,3,0.84,1.0296,1.21,5.4,3.0,14.4,8.7
20000301,7,0.89,1.0159,0.59,1.0,11.1,21.1,10.5
20000302,5,0.78,1.009,0.82,3.2,11.1,21.1,10.2
20000303,2,0.65,1.0229,1.8,10.0,1.0,14.6,7.8
20000304,7,0.81,1.0192,0.95,1.7,11.1,21.1,11.9
20000305,4,0.75,1.021,1.66,9.7,7.0,17.2,12.1
20000306,5,0.76,1.0335,1.44,7.0,4.6,13.2,8.9
20000307,2,0.81,1.0319,1.56,8.7,2.2,14.0,8.1
20000308,3,0.8,1.0293,1.7,8.8,3.8,15.4,9.6
20000309,2,0.83,1.0277,1.73,9.6,3.4,15.2,9.3
20000310,8,0.89,1.0218,0.57,0.0,9.6,14.6,12.1
20000311,7,0.87,1.0211,0.65,0.2,9.6,14.6,12.1
20000312,6,0.83,1.0195,0.7,1.0,8.8,15.0,11.9
20000313,5,0.83,1.0231,1.22,3.2,11.1,21.1,11.6
20000314,4,0.85,1.0232,1.54,7.0,6.4,17.0,11.7
20000315,7,0.87,1.0163,1.08,2.2,10.2,16.2,13.2
20000316,2,0.62,1.0166,2.11,10.6,5.4,17.2,11.3
20000317,3,0.77,1.0166,1.99,9.6,3.6,15.0,9.3
20000318,3,0.83,1.0143,1.65,8.4,5.0,16.8,10.9
20000319,5,0.7,1.0215,1.09,4.1,11.1,21.1,9.0
20000320,8,0.9,1.0219,0.2,0.0,11.1,21.1,6.1
20000321,2,0.73,1.0215,2.13,10.5,1.0,14.2,7.6
20000322,1,0.8,1.0227,1.92,9.5,2.8,15.0,8.9
20000323,1,0.82,1.0218,2.16,10.0,3.0,15.6,9.3
20000324,6,0.84,1.0198,1.19,1.0,11.1,21.1,10.0
20000325,8,0.92,1.0189,0.58,0.0,11.1,21.1,10.7
20000326,6,0.88,1.0158,1.77,7.5,11.1,21.1,12.4
20000327,6,0.85,1.0101,1.16,2.2,11.1,21.1,11.7
20000328,7,0.8,1.0092,0.9,0.0,11.1,21.1,13.0
20000329,7,0.85,1.0101,0.89,2.7,11.1,21.1,12.4
20000330,4,0.77,1.0168,2.09,10.2,5.6,14.6,10.1
20000331,5,0.7,1.0125,2.05,8.2,4.8,17.2,11.0
20000401,5,0.79,1.0063,1.87,7.4,11.1,21.1,11.9
20000402,4,0.74,1.0095,2.01,7.2,11.1,21.1,11.3
20000403,7,0.64,0.9997,0.63,0.0,11.1,21.1,16.0
20000404,7,0.91,0.999,0.62,0.2,11.1,21.1,13.1
20000405,5,0.86,1.0037,1.84,7.5,11.1,21.1,12.9
20000406,5,0.85,1.0127,2.33,10.4,11.1,21.1,12.6
20000407,2,0.69,1.018,2.43,11.0,5.6,18.0,11.8
20000408,3,0.7,1.0214,2.55,10.0,4.8,16.0,10.4
20000409,7,0.76,1.0148,0.76,0.0,11.1,21.1,10.4
20000410,8,0.9,1.0062,0.44,0.0,11.1,21.1,11.6
20000411,7,0.91,1.0028,1.09,1.1,11.1,21.1,12.7
20000412,5,0.86,1.0044,2.06,9.5,8.4,17.0,12.7
20000413,4,0.83,1.0103,2.2,7.0,10.6,18.6,14.6
20000414,6,0.68,1.0091,1.58,1.0,10.2,20.2,15.2
20000415,5,0.73,1.0065,2.28,10.2,12.0,20.0,16.0
20000416,4,0.76,1.0099,2.05,5.8,9.0,20.6,14.8
20000417,7,0.69,1.0036,1.58,2.3,11.0,22.8,16.9
20000418,8,0.9,1.0049,0.63,0.0,11.1,21.1,14.1
20000419,6,0.81,1.0065,1.91,3.5,10.4,19.0,14.7
20000420,5,0.81,1.009,2.24,7.4,8.8,22.6,15.7
20000421,1,0.74,1.0138,2.6,11.6,11.6,27.2,19.4
20000422,3,0.88,1.0179,1.96,6.3,12.4,21.0,16.7
20000423,4,0.87,1.0162,2.11,6.9,10.0,22.4,16.2
20000424,7,0.77,1.0136,1.69,7.5,11.4,16.8,14.1
20000425,5,0.75,1.0144,1.86,9.6,9.0,19.2,14.1
20000426,2,0.81,1.0159,2.5,10.8,8.6,22.0,15.3
20000427,5,0.86,1.0132,1.4,0.5,10.0,22.4,16.2
20000428,7,0.81,1.0103,1.2,1.5,11.1,21.1,16.8
20000429,7,0.91,1.0132,0.4,0.0,11.1,21.1,14.3
20000430,5,0.87,1.0167,1.96,6.4,8.6,20.4,14.5
20000501,4,0.84,1.0137,2.27,8.0,10.0,22.2,16.1
20000502,6,0.93,1.0125,1.37,2.5,12.4,20.8,16.6
20000503,4,0.85,1.0154,2.18,6.6,11.0,22.2,16.6
20000504,5,0.85,1.018,2.59,9.8,13.0,23.0,18.0
20000505,5,0.89,1.0168,1.1,0.1,11.6,20.0,15.8
20000506,3,0.7,1.0157,2.6,9.2,12.4,24.0,18.2
20000507,7,0.83,1.0169,0.94,0.9,14.2,25.0,19.6
20000508,3,0.78,1.0189,2.69,9.2,14.0,25.4,19.7
20000509,5,0.83,1.0193,0.72,0.0,13.6,22.0,17.8
20000510,5,0.63,1.0175,2.1,5.0,13.6,27.2,20.4
20000511,4,0.79,1.0185,1.93,5.2,14.2,25.2,19.7
20000512,2,0.78,1.018,2.5,10.0,14.6,25.6,20.1
20000513,5,0.76,1.0179,2.94,11.5,13.8,25.8,19.8
20000514,5,0.73,1.0182,2.32,7.4,15.0,26.0,20.5
20000515,4,0.75,1.0184,2.15,9.2,13.0,24.8,18.9
20000516,1,0.7,1.0185,2.93,12.2,13.8,26.0,19.9
20000517,1,0.62,1.0169,3.0,12.5,13.0,26.4,19.7
20000518,2,0.68,1.0138,3.01,12.4,12.6,25.6,19.1
20000519,4,0.78,1.0106,2.41,10.8,15.2,22.6,18.9
20000520,2,0.73,1.01,3.06,12.0,13.0,22.8,17.9
20000521,5,0.79,1.0132,2.51,10.2,13.6,24.4,19.0
20000522,5,0.81,1.0146,2.02,4.4,15.6,24.0,19.8
20000523,3,0.77,1.0166,2.79,12.0,15.2,25.6,20.4
20000524,4,0.74,1.017,2.75,10.2,15.0,25.2,20.1
20000525,3,0.64,1.0163,2.81,11.6,13.8,26.6,20.2
20000526,4,0.7,1.0162,2.54,11.5,15.0,27.4,21.2
20000527,3,0.82,1.0153,2.66,10.1,16.4,26.2,21.3
20000528,4,0.82,1.0153,2.6,10.0,15.0,23.0,19.0
20000529,4,0.82,1.0144,2.75,10.4,15.6,24.2,19.9
20000530,2,0.75,1.0153,3.02,12.5,17.0,26.6,21.8
20000531,3,0.76,1.0157,2.43,6.7,14.8,26.4,20.6
20000601,2,0.7,1.0191,2.89,12.4,15.0,27.8,21.4
20000602,1,0.7,1.0207,3.02,12.0,15.4,27.4,21.4
20000603,0,0.53,1.0193,3.03,12.4,16.0,28.6,22.3
20000604,1,0.64,1.0189,3.02,12.5,16.0,28.2,22.1
20000605,1,0.34,1.0183,3.02,12.0,15.4,29.2,22.3
20000606,4,0.73,1.0143,2.56,8.6,16.0,28.8,22.4
20000607,7,0.73,1.0132,1.53,3.5,13.0,26.0,19.5
20000608,5,0.73,1.0164,2.78,9.2,17.0,31.0,24.0
20000609,3,0.73,1.0175,2.62,8.2,15.8,31.4,23.6
20000610,2,0.73,1.0151,2.87,9.8,17.2,30.4,23.8
20000611,7,0.73,1.0136,0.94,0.3,16.8,25.6,21.2
20000612,5,0.73,1.019,2.4,7.0,15.6,27.0,21.3
20000613,2,0.18,1.0231,3.03,12.2,15.8,27.6,21.7
20000614,2,0.64,1.0215,3.08,12.5,15.0,30.0,22.5
20000615,4,0.68,1.0176,2.58,8.7,18.2,29.0,23.6
20000616,3,0.76,1.014,2.31,7.5,15.8,29.4,22.6
20000617,2,0.71,1.0178,2.58,11.0,15.8,30.0,22.9
20000618,0,0.37,1.0241,3.33,12.4,14.6,28.0,21.3
20000619,0,0.55,1.0231,3.14,12.7,13.6,28.2,20.9
20000620,0,0.49,1.0213,3.11,13.0,15.2,28.2,21.7
20000621,1,0.58,1.0201,3.14,12.1,16.0,29.6,22.8
20000622,0,0.58,1.0204,3.21,13.6,15.0,29.6,22.3
20000623,1,0.63,1.0186,3.04,11.8,16.8,29.2,23.0
20000624,3,0.71,1.015,2.75,10.8,17.8,28.0,22.9
20000625,5,0.81,1.0125,1.72,7.5,18.0,23.8,20.9
20000626,1,0.74,1.0139,3.02,12.0,14.8,28.2,21.5
20000627,1,0.67,1.0165,2.83,12.1,16.4,28.4,22.4
20000628,2,0.68,1.0142,3.0,12.3,16.6,28.4,22.5
20000629,4,0.8,1.0114,1.67,5.0,19.0,27.0,23.0
20000630,2,0.79,1.0136,2.75,12.0,17.6,28.0,22.8
20000701,1,0.74,1.0158,2.91,12.1,17.6,29.0,23.3
20000702,0,0.57,1.0177,3.1,12.5,17.8,32.0,24.9
20000703,0,0.44,1.015,2.99,12.0,18.2,34.2,26.2
20000704,2,0.26,1.0114,1.98,6.8,24.0,35.0,29.5
20000705,0,0.72,1.0144,3.23,12.8,19.8,29.8,24.8
20000706,0,0.62,1.0173,3.01,12.3,17.4,33.2,25.3
20000707,1,0.5,1.0134,2.84,11.3,18.0,35.0,26.5
20000708,1,0.6,1.0071,3.1,12.0,20.8,29.0,24.9
20000709,2,0.72,1.008,2.79,12.0,18.0,28.8,23.4
20000710,4,0.78,1.0079,2.42,8.8,17.0,26.2,21.6
20000711,6,0.78,1.0049,2.01,7.5,18.0,25.2,21.6
20000712,4,0.71,1.0101,2.69,9.4,14.2,25.4,19.8
20000713,2,0.73,1.0147,3.1,12.2,12.0,24.6,18.3
20000714,5,0.8,1.0101,2.6,8.4,15.8,24.8,20.3
20000715,5,0.84,1.0022,2.5,9.5,17.0,25.4,21.2
20000716,3,0.71,1.0074,2.92,11.8,14.6,24.8,19.7
20000717,2,0.65,1.0163,2.99,12.1,13.6,26.2,19.9
20000718,4,0.67,1.015,2.86,12.2,15.0,27.0,21.0
20000719,1,0.6,1.013,3.04,12.0,15.8,29.2,22.5
20000720,2,0.62,1.0129,2.85,11.7,16.0,28.8,22.4
20000721,1,0.68,1.0158,2.86,12.3,15.4,27.4,21.4
20000722,1,0.64,1.0169,2.95,12.5,16.0,29.4,22.7
20000723,1,0.47,1.0183,2.83,11.6,15.0,29.6,22.3
20000724,4,0.4,1.0155,2.14,7.2,17.6,30.4,24.0
20000725,2,0.68,1.0129,2.57,11.0,22.0,29.0,25.5
20000726,0,0.78,1.013,2.77,11.9,19.2,30.2,24.7
20000727,1,0.74,1.0148,2.81,12.3,20.4,32.2,26.3
20000728,0,0.66,1.0116,2.85,12.1,18.4,32.4,25.4
20000729,1,0.66,1.0114,2.89,12.5,17.6,30.6,24.1
20000730,1,0.63,1.0143,2.87,12.5,17.0,30.2,23.6
20000731,1,0.51,1.0189,2.88,12.1,17.6,30.6,24.1
20000801,0,0.61,1.0219,2.85,12.5,16.6,30.0,23.3
20000802,0,0.55,1.0211,2.8,12.0,17.0,32.2,24.6
20000803,0,0.51,1.0193,2.74,11.8,17.6,32.4,25.0
20000804,2,0.48,1.0158,2.66,11.0,17.2,32.2,24.7
20000805,4,0.82,1.0144,1.16,5.2,16.2,25.0,20.6
20000806,3,0.82,1.0168,2.44,11.1,17.8,25.0,21.4
20000807,4,0.87,1.0167,1.78,5.2,17.6,26.0,21.8
20000808,1,0.67,1.017,2.8,12.0,15.8,30.0,22.9
20000809,2,0.65,1.0172,2.61,11.4,16.8,30.0,23.4
20000810,0,0.61,1.0162,2.69,12.2,17.6,30.4,24.0
20000811,1,0.69,1.0145,2.67,12.2,17.8,31.6,24.7
20000812,1,0.69,1.0137,2.64,11.8,18.2,30.6,24.4
20000813,4,0.63,1.0163,1.72,7.6,18.6,30.6,24.6
20000814,5,0.68,1.0174,2.51,9.9,19.6,30.4,25.0
20000815,1,0.65,1.0165,2.54,11.8,18.4,33.4,25.9
20000816,0,0.6,1.015,2.62,11.7,18.2,33.8,26.0
20000817,0,0.58,1.0152,2.59,11.8,18.4,33.6,26.0
20000818,0,0.7,1.016,2.49,11.6,19.8,33.0,26.4
20000819,1,0.72,1.0174,2.5,11.7,20.0,33.4,26.7
20000820,0,0.57,1.0174,2.57,12.0,19.0,34.8,26.9
20000821,0,0.49,1.0159,2.48,11.6,18.6,34.4,26.5
20000822,1,0.54,1.0151,2.31,10.5,20.0,35.0,27.5
20000823,2,0.56,1.0166,2.2,8.6,19.6,38.0,28.8
20000824,2,0.68,1.0183,2.14,8.0,23.0,35.6,29.3
20000825,1,0.74,1.0147,2.35,10.7,19.6,34.6,27.1
20000826,1,0.74,1.0123,2.3,10.0,20.2,33.8,27.0
20000827,3,0.85,1.0125,2.13,10.0,19.4,32.6,26.0
20000828,3,0.76,1.0142,2.07,9.5,20.2,31.2,25.7
20000829,2,0.78,1.0166,2.01,9.9,19.8,30.2,25.0
20000830,1,0.78,1.0157,2.19,10.0,19.0,31.0,25.0
20000831,4,0.88,1.0094,1.37,2.5,17.8,29.0,23.4
20000901,3,0.74,1.0072,2.36,10.8,17.6,29.2,23.4
20000902,1,0.78,1.0094,2.37,11.0,17.4,29.4,23.4
20000903,3,0.77,1.008,2.29,10.9,19.8,28.0,23.9
20000904,5,0.82,1.0098,1.77,6.4,15.6,26.2,20.9
20000905,1,0.65,1.0142,2.39,11.2,13.2,25.8,19.5
20000906,2,0.58,1.0172,2.32,11.0,12.8,26.0,19.4
20000907,6,0.88,1.0108,0.84,0.1,15.2,23.4,19.3
20000908,3,0.66,1.0112,2.01,9.1,14.0,26.0,20.0
20000909,3,0.55,1.0177,1.99,8.5,14.6,29.8,22.2
20000910,3,0.6,1.0172,2.06,11.0,16.0,29.2,22.6
20000911,1,0.69,1.0139,2.13,10.9,14.6,28.4,21.5
20000912,1,0.74,1.0139,2.14,10.5,14.6,28.2,21.4
20000913,3,0.68,1.0152,2.04,9.8,14.4,28.4,21.4
20000914,2,0.78,1.0167,2.05,10.5,14.0,27.8,20.9
20000915,2,0.81,1.0171,2.03,10.0,14.8,27.4,21.1
20000916,4,0.87,1.0155,1.74,8.4,17.0,27.0,22.0
20000917,3,0.82,1.0103,2.03,10.0,17.4,28.6,23.0
20000918,3,0.84,1.0088,1.81,8.5,18.4,27.4,22.9
20000919,6,0.82,1.0101,1.0,2.0,16.4,27.6,22.0
20000920,5,0.55,1.0084,1.81,7.4,20.8,30.6,25.7
20000921,3,0.74,1.013,1.68,8.5,16.8,24.2,20.5
20000922,0,0.67,1.0168,2.0,10.2,12.4,27.6,20.0
20000923,2,0.74,1.0182,1.7,9.7,13.8,26.2,20.0
20000924,2,0.8,1.0194,1.83,9.2,14.2,26.4,20.3
20000925,2,0.71,1.0206,1.63,9.2,14.4,26.4,20.4
20000926,1,0.79,1.0213,1.86,10.2,12.8,27.0,19.9
20000927,2,0.78,1.0201,1.76,9.9,13.0,27.0,20.0
20000928,4,0.89,1.0168,1.43,6.6,15.0,26.8,20.9
20000929,7,0.88,1.0105,0.32,0.0,15.8,23.2,19.5
20000930,6,0.9,1.0067,0.7,3.2,16.8,22.4,19.6
20001001,6,0.93,1.0066,1.27,5.5,17.1,23.0,19.4
20001002,6,0.94,1.0083,0.69,1.6,13.5,22.0,17.3
20001003,6,0.88,1.0094,0.85,2.5,13.4,22.0,17.5
20001004,7,0.94,1.012,0.61,1.0,15.0,21.6,17.6
20001005,6,0.89,1.0126,1.23,4.7,11.1,23.0,18.4
20001006,6,0.92,1.0121,1.52,6.8,15.0,23.0,18.3
20001007,4,0.92,1.0113,0.95,4.5,12.2,22.4,17.3
20001008,4,0.81,1.0107,1.53,6.5,10.0,20.4,15.2
20001009,4,0.87,1.0108,1.22,6.0,10.0,19.8,14.9
20001010,6,0.91,1.0075,0.76,2.4,11.0,21.0,16.0
20001011,6,0.88,1.0063,1.22,5.5,13.0,20.6,16.8
20001012,2,0.74,1.0092,1.54,9.0,18.2,25.0,21.6
20001013,5,0.35,1.0092,1.18,3.0,17.8,30.0,23.9
20001014,6,0.49,1.011,1.15,4.5,19.6,28.6,24.1
20001015,6,0.85,1.0124,0.22,0.7,12.4,24.0,18.2
20001016,6,0.92,1.0191,0.86,1.0,13.0,20.8,16.9
20001017,5,0.97,1.0216,0.84,3.5,12.0,20.2,16.1
20001018,2,0.93,1.0224,1.39,8.4,9.8,20.0,14.9
20001019,2,0.88,1.0214,1.45,8.2,9.4,20.4,14.9
20001020,1,0.9,1.0229,1.25,7.5,10.0,21.2,15.6
20001021,2,0.87,1.0249,1.28,8.4,10.8,23.0,16.9
20001022,3,0.87,1.0278,1.25,7.5,11.8,21.4,16.6
20001023,2,0.91,1.0278,1.11,7.5,10.2,20.8,15.5
20001024,1,0.88,1.026,1.27,8.3,10.2,21.2,15.7
20001025,5,0.93,1.0234,0.71,3.2,10.8,20.0,15.4
20001026,5,0.94,1.0185,0.82,1.7,11.0,21.0,16.0
20001027,4,0.94,1.0171,1.08,7.5,11.8,21.6,16.7
20001028,2,0.92,1.0203,1.0,6.5,11.0,22.0,16.5
20001029,3,0.94,1.0212,0.83,5.0,11.4,20.2,15.8
20001030,5,0.92,1.0191,1.04,5.6,13.8,20.6,17.2
20001031,6,0.97,1.0117,0.7,2.6,16.0,20.4,18.2
20001101,5,0.86,1.0111,1.14,9.0,11.2,19.2,15.2
20001102,5,0.86,1.0147,1.09,6.2,10.6,19.4,15.0
20001103,6,0.95,1.0105,0.77,3.8,13.6,20.4,17.0
20001104,5,0.88,1.0134,0.7,6.2,10.8,17.0,13.9
20001105,4,0.84,1.0181,0.9,5.8,9.2,17.8,13.5
20001106,7,0.97,1.0069,0.2,0.0,11.4,17.4,14.4
20001107,7,0.91,1.0004,0.5,2.5,10.8,16.7,13.8
20001108,6,0.86,1.0088,0.72,4.0,8.8,17.2,13.0
20001109,7,0.91,1.0167,0.69,3.5,9.4,16.6,13.0
20001110,3,0.9,1.0226,0.7,5.9,8.0,17.8,12.9
20001111,2,0.87,1.0266,1.03,8.8,5.6,16.4,11.0
20001112,6,0.94,1.0241,0.38,0.5,4.0,17.6,10.8
20001113,5,0.9,1.0164,0.8,4.0,16.8,20.2,18.5
20001114,5,0.96,1.0143,0.72,6.2,17.0,20.0,18.5
20001115,6,0.88,1.0172,0.65,2.0,16.8,20.0,18.4
20001116,5,0.63,1.0143,0.96,7.0,17.4,21.8,19.6
20001117,6,0.85,1.0094,0.44,2.0,11.8,19.4,15.6
20001118,6,0.88,1.0107,0.64,3.4,8.8,15.4,12.1
20001119,7,0.97,1.0078,0.18,0.0,7.0,11.0,9.0
20001120,6,0.92,1.0122,0.52,3.0,7.0,16.0,11.5
20001121,6,0.95,1.0101,0.41,1.8,9.6,16.2,12.9
20001122,2,0.93,1.0172,0.83,6.1,6.4,14.4,10.4
20001123,3,0.89,1.0182,0.68,4.0,4.8,15.6,10.2
20001124,7,0.94,1.0105,0.24,1.0,9.8,15.6,12.7
20001125,3,0.89,1.0089,0.82,6.7,6.6,14.8,10.7
20001126,5,0.91,1.0094,0.15,1.0,4.6,15.8,10.2
20001127,3,0.77,1.015,0.84,6.5,5.6,14.4,10.0
20001128,1,0.79,1.0214,0.88,8.4,3.6,13.0,8.3
20001129,2,0.88,1.0219,0.82,7.9,3.2,14.6,8.9
20001130,4,0.86,1.0217,0.62,3.9,4.0,14.6,9.3
20001201,1,0.89,1.0237,0.79,7.3,4.8,16.0,10.4
20001202,5,0.95,1.0239,0.66,5.0,6.4,17.0,11.7
20001203,6,0.9,1.0186,0.45,1.5,8.8,17.4,13.1
20001204,2,0.92,1.0194,0.66,5.8,5.4,15.0,10.2
20001205,1,0.91,1.0221,0.77,7.8,4.8,15.0,8.5
20001206,2,0.92,1.0228,0.69,7.6,4.0,14.4,9.2
20001207,4,0.93,1.0229,0.56,2.6,4.8,14.8,9.8
20001208,5,0.93,1.0205,0.38,0.1,8.0,16.0,12.0
20001209,4,0.93,1.0218,0.7,6.4,5.2,17.8,11.5
20001210,4,0.91,1.025,0.64,6.3,7.4,16.2,11.8
20001211,1,0.88,1.0294,0.82,8.0,5.4,16.0,10.7
20001212,3,0.89,1.0308,0.72,7.0,4.4,13.6,9.0
20001213,5,0.93,1.0271,0.36,0.4,4.0,14.8,9.4
20001214,6,0.91,1.0196,0.29,0.3,11.0,15.8,13.4
20001215,5,0.86,1.0103,0.4,1.8,11.6,17.0,14.3
20001216,3,0.79,1.0117,0.72,3.8,4.2,13.0,8.6
20001217,5,0.89,1.0152,0.48,7.5,5.6,13.0,9.3
20001218,4,0.89,1.0192,0.56,5.9,5.0,13.0,9.0
20001219,3,0.88,1.0221,0.62,4.6,2.0,11.8,6.9
20001220,6,0.93,1.0197,0.09,0.0,5.2,10.8,8.0
20001221,7,0.89,1.0189,0.14,0.0,8.0,11.4,9.7
20001222,2,0.8,1.0172,0.75,8.0,2.4,11.8,7.1
20001223,3,0.81,1.0184,0.7,7.2,0.4,9.8,5.1
20001224,5,0.85,1.0144,0.13,0.1,0.6,13.2,6.9
20001225,7,0.96,1.0034,0.26,0.3,12.4,15.6,14.0
20001226,6,0.94,0.9986,0.39,2.9,8.0,15.2,11.6
20001227,7,0.95,0.9926,0.17,0.0,11.0,15.2,13.1
20001228,5,0.9,0.9942,0.52,5.2,7.6,15.0,11.3
20001229,7,0.93,0.9967,0.33,1.0,7.2,13.8,10.5
20001230,5,0.84,0.9998,0.46,3.5,2.4,12.6,7.5
20001231,5,0.74,1.0002,0.78,6.0,5.8,13.2,9.5
20010101,1,0.8,1.0154,0.87,8.0,2.8,10.2,6.5
20010102,2,0.84,1.0175,0.86,8.2,1.0,13.8,7.4
20010103,5,0.96,1.0152,0.41,2.0,7.8,14.8,11.3
20010104,5,0.95,1.015,0.18,0.0,5.4,12.6,9.0
20010105,4,0.87,1.0153,0.85,7.0,6.0,14.0,10.0
20010106,5,0.87,1.0146,0.77,6.0,7.6,16.4,12.0
20010107,5,0.68,1.0134,0.56,2.4,11.0,17.8,14.4
20010108,7,0.96,1.0091,0.13,0.0,6.2,14.8,10.5
20010109,4,0.88,1.0155,0.91,7.9,4.0,13.0,8.5
20010110,5,0.84,1.0226,0.84,6.3,5.0,14.0,9.5
20010111,6,0.89,1.022,0.69,3.6,10.8,15.4,13.1
20010112,6,0.91,1.0174,0.54,2.0,7.8,14.4,11.1
20010113,6,0.87,1.012,0.34,0.0,6.6,13.4,10.0
20010114,3,0.58,1.0114,0.69,3.8,4.6,12.0,8.3
20010115,5,0.76,1.018,0.28,0.3,2.0,8.6,5.3
20010116,8,0.93,1.0218,0.44,0.8,3.6,9.0,5.9
20010117,8,0.87,1.0211,0.16,0.0,6.0,11.2,8.6
20010118,5,0.94,1.0202,0.58,3.2,6.2,13.8,10.0
20010119,7,0.93,1.02,0.18,0.0,6.0,11.0,8.5
20010120,5,0.88,1.0175,0.94,9.2,5.0,13.0,9.0
20010121,2,0.92,1.0192,0.99,4.3,4.0,12.8,8.4
20010122,4,0.94,1.0231,0.69,7.2,4.2,13.4,8.8
20010123,6,0.9,1.0183,0.52,3.5,6.4,14.6,10.5
20010124,6,0.94,1.0175,0.69,1.3,7.0,15.4,11.2
20010125,5,0.95,1.0155,0.8,3.3,12.0,16.8,14.4
20010126,6,0.97,1.0139,0.32,0.0,7.0,14.4,10.7
20010127,6,0.95,1.0082,0.31,0.3,5.8,12.0,8.9
20010128,6,0.89,1.0022,0.55,1.4,5.6,13.0,9.3
20010129,7,0.95,0.9989,0.12,0.0,9.0,13.2,11.1
20010130,8,0.97,1.0014,0.18,0.0,6.0,10.0,8.0
