DATE,HEATHROW_cloud_cover,HEATHROW_humidity,HEATHROW_pressure,HEATHROW_global_radiation,HEATHROW_precipitation,HEATHROW_sunshine,HEATHROW_temp_min,HEATHROW_temp_max,HEATHROW_temp_mean
20000315,2,0.65,1.034,1.73,0.0,9.9,2.6,12.2,7.6
20000316,6,0.72,1.0344,0.49,0.0,0.1,3.9,10.6,8.0
20000317,8,0.68,1.0342,0.45,0.0,0.0,8.3,10.8,9.4
20000318,5,0.67,1.0359,1.47,0.0,6.8,7.5,12.5,9.2
20000319,4,0.72,1.0362,1.7,0.0,8.8,2.5,13.9,7.5
20000320,6,0.78,1.0302,0.94,0.0,2.3,1.7,14.3,7.8
20000321,5,0.79,1.0222,1.6,0.0,7.5,3.7,15.5,9.0
20000322,6,0.73,1.0164,1.25,0.0,4.4,3.5,14.8,9.5
20000323,8,0.7,1.0103,0.49,0.16,0.0,5.3,14.1,10.0
20000324,6,0.77,1.0064,1.36,0.02,5.0,7.7,12.3,10.9
20000325,4,0.78,1.0096,1.57,0.26,6.7,5.9,11.2,9.1
20000326,4,0.74,1.0076,1.57,0.08,6.5,1.6,10.2,6.4
20000327,6,0.77,1.0145,1.53,0.2,6.1,4.0,8.2,7.1
20000328,7,0.72,1.021,0.64,0.12,0.3,4.3,7.1,6.2
20000329,8,0.87,1.0177,0.53,0.0,0.0,3.7,8.2,5.4
20000330,8,0.8,1.0147,0.53,0.0,0.0,5.0,10.0,6.6
20000331,7,0.71,1.0074,1.08,0.0,2.4,5.0,11.8,7.5
20000401,7,0.82,1.0009,1.15,0.06,2.8,1.7,13.7,6.8
20000402,8,0.78,0.997,0.75,1.6,0.6,7.1,9.1,10.4
20000403,8,0.92,0.9894,0.56,1.72,0.0,8.2,6.0,8.6
20000404,8,0.82,0.9988,0.56,0.12,0.0,1.9,10.1,4.0
20000405,6,0.65,1.0169,1.64,0.0,5.9,2.7,10.9,6.4
20000406,1,0.66,1.0304,2.37,0.0,12.0,0.7,14.9,5.8
20000407,2,0.71,1.0326,2.26,0.0,10.9,2.3,17.3,8.6
20000408,4,0.61,1.0233,2.32,0.36,11.2,2.0,14.7,9.6
20000409,5,0.68,1.0142,2.15,0.0,9.6,6.4,12.4,10.6
20000410,2,0.62,1.0141,2.28,0.06,10.6,3.6,7.1,8.0
20000411,7,0.83,0.9931,0.61,0.6,0.0,3.4,6.6,5.2
20000412,8,0.92,0.9841,0.61,0.64,0.0,1.8,9.2,4.2
20000413,7,0.86,0.9909,1.17,0.18,2.2,3.6,10.2,6.4
20000414,7,0.77,0.9993,0.94,1.18,1.0,4.0,8.4,7.1
20000415,8,0.89,0.9945,0.63,0.18,0.0,3.2,12.8,5.8
20000416,5,0.78,0.9956,2.02,0.26,7.7,0.3,11.9,6.6
20000417,5,0.78,0.9933,1.65,0.56,4.9,6.3,12.2,9.1
20000418,7,0.85,1.0016,0.87,0.52,0.6,5.8,16.1,9.0
20000419,6,0.72,1.0064,2.25,0.24,9.2,6.7,14.0,11.4
20000420,8,0.9,1.0057,0.8,0.2,0.3,10.2,15.5,12.1
20000421,6,0.74,1.0096,1.72,0.08,5.1,8.2,15.8,11.8
20000422,6,0.77,1.0078,1.99,0.0,6.9,7.2,14.3,11.5
20000423,6,0.83,1.0105,1.14,0.02,1.6,6.1,15.3,10.2
20000424,6,0.76,1.0106,1.87,0.5,5.9,5.8,16.1,10.6
20000425,7,0.83,1.0052,1.04,0.38,1.1,10.0,15.2,13.0
20000426,7,0.84,1.0052,1.73,0.02,4.8,9.4,16.0,12.3
20000427,6,0.74,1.0093,1.49,0.0,3.3,6.8,13.3,11.4
20000428,8,0.88,1.0078,0.7,0.48,0.0,10.0,18.7,11.6
20000429,3,0.69,1.0148,2.89,0.0,13.3,9.1,16.6,13.9
20000430,6,0.74,1.0223,1.68,0.0,4.3,6.5,16.6,11.6
20000501,5,0.74,1.0242,1.81,0.0,5.0,7.5,14.6,12.0
20000502,6,0.73,1.0257,1.66,0.02,4.0,8.6,11.2,11.6
20000503,8,0.84,1.0243,0.72,0.0,0.0,8.2,12.6,9.7
20000504,7,0.8,1.0225,0.8,0.0,0.1,8.2,20.5,10.4
20000505,6,0.74,1.0164,2.56,0.0,10.0,7.4,24.1,14.0
20000506,5,0.71,1.0125,2.71,0.0,11.1,8.6,23.3,16.4
20000507,6,0.72,1.0145,2.25,0.0,7.6,12.7,19.4,18.0
20000508,6,0.84,1.0174,1.69,0.02,3.9,10.5,23.4,15.0
20000509,5,0.82,1.0178,2.23,0.0,7.3,12.3,17.9,17.8
20000510,7,0.84,1.0178,1.06,0.46,0.8,13.0,17.8,15.4
20000511,7,0.76,1.0184,1.67,0.26,3.7,10.9,19.5,14.4
20000512,7,0.77,1.0207,1.75,0.0,4.1,8.5,24.9,14.0
20000513,5,0.76,1.0215,2.54,0.0,9.3,13.0,25.3,19.0
20000514,5,0.72,1.0224,3.08,0.24,13.4,12.5,26.6,18.9
20000515,6,0.67,1.0173,2.99,0.0,12.6,15.4,22.5,21.0
20000516,4,0.66,1.0104,2.86,0.0,11.5,15.2,15.9,18.8
20000517,7,0.64,1.0091,1.76,0.42,4.0,11.1,15.5,13.5
20000518,5,0.76,1.0069,2.43,0.44,8.2,7.2,14.3,11.4
20000519,6,0.71,1.0085,2.27,0.2,7.1,9.2,15.8,11.8
20000520,5,0.7,1.0122,2.17,1.16,6.4,5.1,16.0,10.4
20000521,7,0.77,1.0078,1.92,0.18,4.8,8.3,18.6,12.2
20000522,5,0.71,1.0149,2.98,0.0,12.1,7.8,14.3,13.2
20000523,8,0.85,1.0131,0.8,0.22,0.0,11.6,16.2,13.0
20000524,7,0.79,1.0119,1.76,0.86,3.8,9.6,16.8,12.9
20000525,4,0.67,1.0109,3.02,0.02,12.2,9.2,12.8,13.0
20000526,8,0.86,1.0081,0.81,1.88,0.0,10.4,14.8,11.6
20000527,6,0.74,1.0057,2.76,1.9,10.2,7.0,15.6,10.9
20000528,7,0.77,1.0018,2.21,0.3,6.4,5.9,17.4,10.8
20000529,4,0.68,1.0132,3.08,0.0,12.5,6.2,15.7,11.8
20000530,6,0.66,1.0133,1.49,0.0,2.3,9.3,19.0,12.5
20000531,6,0.66,1.0183,2.54,0.14,8.5,6.3,16.8,12.6
20000601,8,0.85,1.0163,1.71,0.0,3.3,12.3,18.8,14.6
20000602,7,0.76,1.0177,1.01,0.0,0.4,12.9,22.9,15.8
20000603,7,0.72,1.0166,2.62,0.0,8.9,12.1,18.1,17.5
20000604,5,0.69,1.0169,2.41,0.0,7.4,11.3,16.1,14.7
20000605,7,0.81,1.0191,0.88,0.0,0.1,10.6,18.9,13.4
20000606,4,0.72,1.0202,2.41,0.0,7.4,9.8,20.6,14.4
20000607,5,0.58,1.0237,2.97,0.0,11.4,8.7,22.4,14.6
20000608,5,0.54,1.0143,2.92,0.02,11.0,12.5,17.8,17.4
20000609,5,0.78,1.0089,1.88,0.42,4.1,14.4,20.3,16.1
20000610,5,0.63,1.0169,3.18,0.0,13.0,8.6,19.3,14.4
20000611,6,0.62,1.0184,2.64,0.0,8.9,11.3,25.1,15.3
20000612,5,0.7,1.0237,3.07,0.0,12.1,12.1,22.6,18.6
20000613,7,0.73,1.0245,2.18,0.0,5.8,14.4,22.5,18.5
20000614,8,0.77,1.0234,1.3,0.0,1.3,15.2,20.1,18.8
20000615,7,0.74,1.0255,1.16,0.0,0.8,15.0,22.3,17.6
20000616,6,0.77,1.0269,1.22,0.0,1.0,14.3,25.9,18.3
20000617,2,0.59,1.0263,3.21,0.0,13.2,13.1,30.8,19.5
20000618,1,0.45,1.0217,3.45,0.0,15.1,15.6,31.4,23.2
20000619,3,0.51,1.0146,3.17,0.0,12.8,19.4,21.6,25.4
20000620,7,0.82,1.0124,0.95,0.38,0.2,15.4,19.5,18.5
20000621,6,0.7,1.0094,2.08,0.0,5.2,15.5,19.0,17.5
20000622,7,0.74,1.0107,1.94,0.24,4.4,13.4,19.7,16.2
20000623,6,0.7,1.0161,1.72,0.0,3.2,12.7,16.1,16.2
20000624,6,0.72,1.0183,0.89,0.0,0.1,8.5,18.0,12.3
20000625,7,0.68,1.0219,1.72,0.0,3.2,10.1,19.9,14.0
20000626,6,0.69,1.0249,1.85,0.0,3.9,12.5,21.9,16.2
20000627,6,0.62,1.0231,2.61,0.0,8.7,11.2,20.9,16.6
20000628,7,0.65,1.0208,1.32,0.0,1.4,13.2,20.3,17.0
20000629,7,0.71,1.0201,0.89,0.82,0.1,14.5,20.8,17.4
20000630,7,0.86,1.0147,1.24,0.04,1.1,13.6,20.9,17.2
20000701,6,0.8,1.0093,1.67,0.02,3.0,14.4,22.3,17.6
20000702,6,0.78,1.0101,1.67,0.02,3.0,13.0,23.3,17.6
20000703,7,0.72,1.0094,2.16,0.0,5.8,14.2,18.3,18.8
20000704,8,0.86,1.0074,0.8,1.7,0.0,15.4,17.1,16.8
20000705,8,0.88,1.0133,0.8,0.0,0.0,13.7,22.7,15.4
20000706,7,0.78,1.0181,1.79,0.04,3.7,12.6,17.9,17.6
20000707,6,0.7,1.0187,1.84,0.0,4.0,13.5,17.9,15.7
20000708,7,0.74,1.0167,1.3,0.06,1.4,11.5,19.1,14.7
20000709,8,0.84,0.9982,1.22,0.9,1.1,13.8,16.1,16.4
20000710,7,0.85,0.9934,1.27,1.04,1.3,11.8,16.3,14.0
20000711,5,0.68,1.0067,2.0,0.0,5.0,9.6,18.7,13.0
20000712,7,0.76,1.0147,1.64,0.42,3.0,7.5,20.9,13.1
20000713,7,0.82,1.0113,1.58,0.48,2.7,13.6,16.9,17.2
20000714,6,0.73,1.0119,1.09,0.0,0.7,12.9,18.1,14.9
20000715,4,0.68,1.0161,2.36,0.0,7.4,9.1,18.2,13.6
20000716,6,0.61,1.0195,2.38,0.0,7.6,9.8,22.6,14.0
20000717,5,0.58,1.02,2.93,0.0,11.7,9.8,24.7,16.2
20000718,4,0.63,1.0206,2.79,0.0,10.7,10.9,25.2,17.8
20000719,2,0.61,1.021,3.26,0.0,14.6,13.0,25.3,19.1
20000720,3,0.57,1.0229,2.9,0.0,11.7,14.9,25.9,20.1
20000721,1,0.66,1.0251,3.22,0.0,14.4,14.4,21.6,20.2
20000722,5,0.68,1.022,2.6,0.0,9.5,12.9,19.0,17.2
20000723,8,0.76,1.0159,1.09,0.0,0.8,12.8,17.2,15.9
20000724,8,0.79,1.0102,0.83,0.0,0.1,12.9,19.0,15.0
20000725,7,0.69,1.0082,1.05,0.0,0.7,12.8,23.4,15.9
20000726,6,0.63,1.0101,2.45,0.0,8.6,13.9,25.0,18.6
20000727,6,0.62,1.0129,2.29,0.0,7.5,15.1,20.9,20.0
20000728,6,0.81,1.014,1.82,0.58,4.5,14.5,24.9,17.7
20000729,5,0.73,1.017,2.48,0.02,9.0,13.4,24.8,19.2
20000730,4,0.69,1.0219,2.54,0.0,9.5,13.7,25.3,19.2
20000731,5,0.61,1.0215,2.8,0.0,11.7,16.1,24.5,20.7
20000801,4,0.66,1.017,2.42,0.0,8.8,14.8,23.5,19.6
20000802,4,0.76,1.0139,2.28,0.42,7.8,13.0,19.7,18.2
20000803,7,0.83,1.0144,1.54,0.58,3.1,15.0,22.4,17.4
20000804,6,0.7,1.0229,2.29,0.0,8.0,14.6,24.2,18.5
20000805,5,0.67,1.0249,2.34,0.0,8.5,12.2,24.7,18.2
20000806,5,0.72,1.0246,1.69,0.0,4.1,16.0,23.0,20.4
20000807,7,0.74,1.0242,1.3,0.0,2.0,17.4,22.6,20.2
20000808,6,0.78,1.0213,1.45,0.56,2.8,16.2,23.9,19.4
20000809,6,0.78,1.0187,1.63,0.0,3.9,14.5,25.4,19.2
20000810,6,0.7,1.016,1.96,0.0,6.1,16.5,24.9,21.0
20000811,5,0.64,1.0156,2.13,0.0,7.4,15.3,27.4,20.1
20000812,2,0.64,1.0139,2.78,0.0,12.8,13.4,23.6,20.4
20000813,7,0.78,1.0153,1.0,0.1,0.9,15.1,23.7,19.4
20000814,7,0.8,1.0155,1.12,0.0,1.4,17.9,24.4,20.8
20000815,5,0.66,1.0186,2.19,0.0,8.2,14.3,23.1,19.4
20000816,6,0.68,1.0136,2.14,0.01,7.9,14.7,23.1,18.9
20000817,5,0.71,1.0116,2.15,0.24,8.1,14.7,19.9,18.9
20000818,6,0.8,1.0115,0.71,0.06,0.1,13.2,23.2,16.6
20000819,6,0.65,1.0103,2.44,0.0,10.7,14.2,21.7,18.7
20000820,5,0.6,1.013,1.89,0.0,6.4,12.4,22.2,17.0
20000821,2,0.63,1.0144,2.51,0.0,11.6,10.3,22.7,16.2
20000822,5,0.65,1.0193,2.07,0.0,8.0,10.6,23.9,16.6
20000823,1,0.62,1.0232,2.64,0.0,13.1,13.3,27.0,18.6
20000824,1,0.61,1.0234,2.55,0.0,12.4,12.8,26.2,19.9
20000825,3,0.6,1.0187,2.37,0.22,10.9,14.7,19.7,20.4
20000826,6,0.84,1.0099,0.6,0.38,0.0,18.3,21.8,19.0
20000827,5,0.8,1.0146,1.54,0.38,4.5,13.2,20.1,17.5
20000828,6,0.73,1.0177,1.95,0.12,7.7,11.6,21.8,15.8
20000829,5,0.67,1.0197,2.02,0.0,8.4,10.3,22.2,16.0
20000830,4,0.64,1.019,2.13,0.0,9.5,13.0,22.6,17.6
20000831,6,0.73,1.0107,1.74,0.16,6.3,10.5,18.9,16.6
20000901,6,0.85,1.0014,1.17,0.46,2.7,13.0,19.9,16.0
20000902,6,0.78,1.0077,1.37,0.08,4.2,11.7,18.6,15.8
20000903,4,0.64,1.0197,2.02,0.0,9.8,9.4,20.5,14.0
20000904,4,0.67,1.0238,2.12,0.0,11.0,6.9,20.4,13.7
20000905,7,0.78,1.0203,0.95,0.04,1.6,10.9,20.7,15.6
20000906,6,0.69,1.0114,1.41,0.08,4.8,14.1,20.3,17.4
20000907,7,0.76,1.0152,0.75,0.0,0.7,8.6,20.2,14.4
20000908,8,0.9,1.018,0.52,0.44,0.0,15.0,22.3,17.6
20000909,7,0.84,1.0229,1.01,0.02,2.2,15.6,25.6,19.0
20000910,3,0.75,1.0219,2.02,0.0,11.0,14.8,27.5,20.2
20000911,4,0.7,1.0144,1.87,0.0,9.7,15.6,24.0,21.6
20000912,5,0.68,1.011,1.55,0.0,6.7,16.0,21.0,20.0
20000913,7,0.75,1.0134,1.07,0.0,2.9,13.9,21.6,17.4
20000914,7,0.77,1.0137,1.07,1.1,3.0,12.4,18.5,17.0
20000915,7,0.9,1.0068,0.8,1.96,1.3,16.0,18.2,17.2
20000916,7,0.72,1.0113,0.72,0.0,0.9,13.4,20.6,15.8
20000917,6,0.78,1.0112,0.71,0.0,0.9,11.7,16.8,16.2
20000918,8,0.86,1.0015,0.46,1.38,0.0,13.6,15.6,15.2
20000919,8,0.94,0.9964,0.45,1.64,0.0,11.9,16.9,13.8
20000920,4,0.81,1.0025,1.07,0.04,3.5,10.4,18.6,13.6
20000921,4,0.86,1.0126,0.98,0.1,2.9,7.2,21.5,12.9
20000922,7,0.73,1.0175,1.57,0.0,8.5,14.3,24.8,17.9
20000923,4,0.74,1.0176,1.74,0.0,10.6,14.1,16.8,19.4
20000924,5,0.87,1.0142,0.72,1.1,1.3,13.6,18.5,15.2
20000925,5,0.85,1.0187,1.14,0.68,4.7,10.7,20.7,14.6
20000926,5,0.84,1.0138,1.09,0.04,4.3,12.1,18.2,16.4
20000927,5,0.8,1.0097,0.96,0.54,3.3,11.7,18.4,15.0
20000928,6,0.79,0.9985,1.22,0.34,5.8,13.2,18.9,15.8
20000929,7,0.81,0.9986,1.32,0.0,7.1,11.5,17.9,15.2
20000930,4,0.85,1.004,1.27,0.54,6.7,12.3,18.6,15.1
20001001,5,0.84,1.0043,1.26,1.0,6.7,7.7,15.3,13.2
20001002,6,0.77,1.0069,0.47,0.02,0.3,9.9,16.4,12.6
20001003,8,0.84,1.0167,0.37,0.08,0.0,8.5,16.3,12.4
20001004,7,0.67,1.0179,0.95,0.02,4.0,12.7,15.7,14.5
20001005,4,0.7,1.0172,1.25,0.08,7.3,11.1,15.1,13.4
20001006,4,0.71,1.0257,1.34,0.5,8.6,5.4,13.2,10.2
20001007,8,0.91,1.0207,0.35,0.86,0.0,9.1,15.6,11.2
20001008,6,0.78,1.0143,1.1,0.0,6.1,9.5,12.4,12.6
20001009,6,0.91,1.0011,0.47,2.4,0.5,5.6,13.3,9.0
20001010,6,0.77,0.9831,0.83,0.88,3.5,6.3,14.3,9.8
20001011,6,0.8,0.9723,0.97,0.38,5.1,6.7,13.5,10.5
20001012,6,0.9,0.9883,0.54,0.42,1.1,8.0,16.0,10.8
20001013,5,0.85,1.0078,0.86,0.0,4.2,6.4,13.9,11.2
20001014,7,0.84,1.0153,0.31,0.0,0.0,8.2,15.6,11.0
20001015,7,0.8,1.0128,0.88,0.28,4.7,7.8,13.9,11.7
20001016,7,0.87,1.0067,0.34,0.16,0.1,10.8,14.9,12.4
20001017,4,0.75,1.0208,1.05,0.5,7.2,5.1,16.3,10.0
20001018,8,0.87,1.0147,0.33,0.1,0.1,9.4,15.2,12.8
20001019,2,0.8,1.0178,1.16,0.0,9.2,7.6,14.1,11.4
20001020,6,0.93,1.0134,0.32,2.02,0.1,7.0,11.5,10.6
20001021,8,0.92,1.0173,0.27,0.02,0.0,10.4,14.3,11.0
20001022,6,0.92,1.0224,0.35,0.0,0.3,9.6,16.0,12.0
20001023,5,0.83,1.0153,0.73,0.02,4.0,9.4,14.2,12.7
20001024,7,0.79,1.0169,0.26,0.02,0.0,9.7,15.3,12.0
20001025,7,0.72,1.0074,0.55,0.0,2.2,11.0,14.5,13.2
20001026,4,0.76,1.0143,0.86,0.3,6.3,7.1,15.4,10.8
20001027,8,0.88,1.0117,0.25,0.9,0.0,9.5,16.0,12.4
20001028,7,0.86,1.0037,0.24,0.72,0.0,11.8,13.4,13.9
20001029,5,0.74,0.9992,0.77,3.66,5.4,7.8,11.3,10.6
20001030,6,0.76,0.9813,0.69,0.16,4.4,8.6,13.3,10.0
20001031,6,0.75,0.9897,0.82,0.04,6.6,6.3,11.6,9.8
20001101,4,0.69,0.9944,0.83,0.6,6.9,7.0,10.9,9.3
20001102,5,0.78,0.9875,0.57,0.52,3.2,3.6,11.4,7.2
20001103,3,0.74,0.9935,0.76,0.0,6.2,5.7,11.4,8.6
20001104,3,0.83,1.0063,0.79,0.0,6.8,2.9,10.9,7.2
20001105,7,0.89,0.9976,0.36,2.48,1.0,2.5,11.0,6.7
20001106,7,0.93,0.9715,0.25,0.54,0.2,7.0,10.7,9.0
20001107,7,0.86,0.9768,0.35,0.1,1.0,7.7,9.2,9.2
20001108,7,0.82,0.9885,0.23,0.0,0.1,6.4,10.2,7.8
20001109,6,0.79,1.0029,0.24,0.0,0.2,6.1,12.1,8.2
20001110,5,0.77,1.0137,0.67,0.08,5.9,3.7,12.8,7.9
20001111,8,0.87,1.0064,0.19,0.88,0.0,5.3,11.1,9.0
20001112,4,0.78,0.9956,0.6,0.02,5.0,8.3,10.8,9.7
20001113,1,0.82,0.9974,0.73,0.02,7.6,2.4,8.7,6.6
20001114,4,0.9,1.0026,0.61,0.04,5.4,1.2,10.2,5.0
20001115,6,0.94,1.0077,0.26,0.56,0.5,-1.2,10.4,4.5
20001116,4,0.84,1.0029,0.54,0.01,4.5,1.0,9.4,5.7
20001117,4,0.83,1.011,0.41,0.0,2.5,0.4,11.9,4.9
20001118,7,0.9,1.0064,0.29,0.32,1.0,2.2,10.9,7.0
20001119,7,0.87,0.9953,0.3,0.08,1.1,7.2,7.0,9.0
20001120,5,0.87,0.9957,0.4,0.02,2.5,2.0,10.1,4.5
20001121,7,0.9,0.9936,0.23,0.46,0.4,3.8,10.9,7.0
20001122,3,0.73,0.9942,0.44,0.02,3.4,4.0,8.4,7.4
20001123,6,0.93,0.9982,0.16,0.54,0.0,3.3,11.0,5.8
20001124,5,0.89,1.0041,0.43,0.14,3.3,2.7,11.6,6.8
20001125,6,0.86,0.9946,0.15,0.68,0.0,5.0,10.5,8.3
20001126,5,0.72,0.9955,0.5,0.0,4.9,7.3,14.0,8.9
20001127,6,0.88,1.0082,0.15,0.9,0.0,3.7,15.6,8.8
20001128,7,0.82,1.0062,0.15,0.12,0.0,7.4,14.2,11.5
20001129,6,0.83,1.0024,0.18,0.08,0.2,10.0,12.2,12.1
20001130,5,0.87,1.009,0.26,0.74,1.1,6.3,13.7,9.2
20001201,7,0.88,1.0019,0.13,0.16,0.0,8.9,12.9,11.3
20001202,4,0.83,1.0087,0.39,0.02,3.8,9.6,11.3,11.2
20001203,4,0.86,1.013,0.46,0.72,5.2,3.7,13.8,7.5
20001204,7,0.86,1.0036,0.21,0.46,0.8,6.7,13.4,10.2
20001205,7,0.83,1.0021,0.13,0.3,0.0,11.3,12.7,12.4
20001206,7,0.8,1.0032,0.13,0.04,0.0,11.1,14.3,11.9
20001207,7,0.92,0.9969,0.13,1.36,0.0,7.1,12.4,10.7
20001208,6,0.81,0.9909,0.37,0.22,3.7,8.4,11.5,10.4
20001209,4,0.81,1.0031,0.33,0.24,2.9,7.6,13.4,9.6
20001210,7,0.82,1.0037,0.21,0.6,0.9,9.0,14.2,11.2
20001211,7,0.83,1.0115,0.12,0.24,0.0,9.3,13.7,11.8
20001212,8,0.87,1.0061,0.12,1.0,0.0,12.7,12.2,13.2
20001213,4,0.68,1.004,0.35,0.0,3.3,9.4,9.5,10.8
20001214,4,0.81,1.0042,0.42,0.06,5.0,5.3,7.1,7.4
20001215,2,0.82,1.0093,0.5,0.0,7.0,2.2,4.4,4.6
20001216,6,0.82,1.0132,0.16,0.02,0.3,-1.1,6.3,1.6
20001217,8,0.9,1.0135,0.14,0.04,0.1,1.0,8.2,3.6
20001218,8,0.92,1.0137,0.12,0.28,0.0,3.1,10.0,5.6
