DATE,BUDAPEST_cloud_cover,BUDAPEST_humidity,BUDAPEST_pressure,BUDAPEST_global_radiation,BUDAPEST_precipitation,BUDAPEST_sunshine,BUDAPEST_temp_max,BUDAPEST_temp_mean
20000324,7,0.65,1.0135,1.19,0.0,1.9,15.0,10.2
20000325,7,0.63,1.0169,0.49,0.01,0.0,12.6,8.8
20000326,5,0.73,1.0153,1.57,0.06,4.6,16.1,10.3
20000327,7,0.9,1.0073,0.67,0.64,1.2,14.3,10.7
20000328,5,0.65,1.0099,1.68,0.0,8.0,15.6,11.2
20000329,8,0.74,1.0137,1.24,0.12,2.2,15.1,11.4
20000330,4,0.68,1.0083,1.42,0.49,6.9,14.1,10.1
20000331,5,0.7,1.0091,1.71,0.01,6.7,11.4,8.3
20000401,7,0.71,1.0057,1.33,0.96,3.6,15.1,9.6
20000402,5,0.79,1.0046,1.19,0.03,6.0,14.2,10.2
20000403,7,0.72,1.0066,1.03,0.05,3.3,15.4,11.4
20000404,7,0.74,0.9999,1.36,2.13,3.3,17.9,13.4
20000405,8,0.95,0.9926,0.2,2.66,0.0,16.0,11.5
20000406,6,0.58,1.0082,1.93,0.0,6.5,11.0,6.4
20000407,5,0.47,1.0212,2.3,0.0,8.7,11.1,6.8
20000408,4,0.56,1.0201,2.38,0.0,9.5,10.5,6.6
20000409,4,0.54,1.0199,2.58,0.0,9.8,10.9,5.9
20000410,7,0.48,1.0141,1.91,0.0,4.5,12.8,8.7
20000411,6,0.59,1.0055,1.79,0.1,1.2,14.6,10.9
20000412,7,0.72,1.001,1.23,0.03,4.2,18.1,12.0
20000413,5,0.63,1.0052,1.81,0.48,5.4,18.0,13.3
20000414,5,0.53,1.007,2.11,0.0,9.2,20.2,15.7
20000415,4,0.58,1.0046,1.82,0.44,8.0,22.4,16.6
20000416,2,0.62,1.0071,2.44,0.0,8.5,18.1,14.2
20000417,4,0.52,1.0076,2.22,0.0,8.6,24.2,17.4
20000418,5,0.54,1.0067,2.27,0.0,8.4,26.6,19.3
20000419,1,0.47,1.0058,2.5,0.0,11.0,26.4,20.2
20000420,6,0.45,1.0097,2.39,0.0,9.8,26.4,20.7
20000421,1,0.41,1.0126,2.61,0.0,11.4,26.9,22.0
20000422,1,0.46,1.0148,2.61,0.0,11.9,27.2,20.8
20000423,0,0.46,1.0138,2.73,0.0,12.3,26.9,20.7
20000424,1,0.44,1.0068,2.71,0.0,11.7,26.2,20.4
20000425,8,0.81,1.0087,0.8,0.29,0.8,23.9,15.5
20000426,6,0.81,1.0134,1.18,0.0,6.5,21.8,16.5
20000427,3,0.71,1.0163,2.63,0.0,10.4,23.8,18.1
20000428,2,0.66,1.0164,2.31,0.0,11.9,24.1,18.9
20000429,1,0.54,1.017,2.77,0.0,10.7,26.8,20.6
20000430,3,0.55,1.0192,2.31,0.0,7.8,26.6,20.4
20000501,5,0.7,1.0156,1.8,1.01,6.4,25.2,18.8
20000502,1,0.43,1.0151,2.98,0.0,12.5,23.5,18.5
20000503,4,0.48,1.0213,2.76,0.0,10.7,19.2,13.9
20000504,3,0.52,1.0205,2.92,0.0,11.6,20.8,15.5
20000505,3,0.49,1.0184,2.81,0.0,12.0,23.0,17.2
20000506,0,0.44,1.0174,3.02,0.0,12.7,24.9,18.5
20000507,0,0.45,1.0184,3.04,0.0,12.7,26.8,20.1
20000508,6,0.51,1.0195,2.37,0.0,7.1,27.6,20.7
20000509,5,0.63,1.0195,2.67,0.0,10.0,24.9,20.1
20000510,2,0.61,1.017,2.97,0.0,11.9,28.2,21.5
20000511,3,0.56,1.0141,2.53,0.0,11.7,30.0,22.9
20000512,3,0.53,1.0144,2.77,0.0,11.0,29.0,22.1
20000513,1,0.37,1.0218,3.1,0.0,11.2,22.2,16.3
20000514,1,0.44,1.0234,3.13,0.0,13.0,24.1,17.6
20000515,1,0.44,1.0226,2.77,0.0,12.7,27.1,20.4
20000516,1,0.43,1.0194,3.07,0.0,13.0,28.5,22.1
20000517,1,0.4,1.015,3.16,0.0,13.0,28.8,23.2
20000518,2,0.43,1.009,3.06,0.0,11.9,28.4,23.0
20000519,5,0.74,1.0069,2.45,0.24,7.6,25.5,16.0
20000520,6,0.71,1.0086,2.04,0.01,7.0,17.9,13.3
20000521,3,0.58,1.0114,2.78,0.0,9.8,18.8,13.5
20000522,5,0.77,1.0122,1.31,0.99,6.4,18.7,12.4
20000523,5,0.71,1.0168,1.69,0.0,6.4,19.5,14.6
20000524,2,0.61,1.0189,3.18,0.0,11.9,22.8,17.4
20000525,3,0.55,1.0173,3.13,0.0,11.8,25.6,19.7
20000526,2,0.51,1.0173,3.22,0.0,13.1,28.5,21.9
20000527,0,0.48,1.0147,3.27,0.0,13.1,30.5,23.8
20000528,4,0.53,1.0125,3.13,0.0,12.0,30.2,24.1
20000529,7,0.7,1.0109,1.11,0.05,0.7,26.7,16.3
20000530,4,0.52,1.0167,3.14,0.0,11.3,19.0,15.0
20000531,7,0.72,1.0146,1.01,0.09,0.6,17.9,14.6
20000601,4,0.56,1.0228,3.0,0.0,11.1,21.0,16.0
20000602,2,0.51,1.0256,3.31,0.0,13.0,23.5,17.7
20000603,0,0.47,1.0217,3.41,0.0,12.6,27.7,20.7
20000604,1,0.44,1.0192,3.39,0.0,13.6,30.0,23.1
20000605,1,0.43,1.0169,3.3,0.0,13.3,31.5,25.1
20000606,3,0.52,1.0113,3.15,0.0,12.3,31.3,25.2
20000607,5,0.61,1.0148,2.74,0.0,6.1,27.4,18.8
20000608,2,0.47,1.0216,3.43,0.0,14.1,24.1,18.7
20000609,0,0.44,1.0206,3.35,0.0,13.9,28.8,21.7
20000610,0,0.4,1.0176,3.39,0.0,13.7,30.3,24.2
20000611,1,0.43,1.0168,3.2,0.0,13.3,32.2,26.3
20000612,0,0.41,1.0198,3.13,0.0,13.4,33.3,27.5
20000613,2,0.51,1.0226,3.03,0.0,10.0,34.3,28.2
20000614,3,0.47,1.0183,2.8,0.0,9.8,34.9,28.8
20000615,3,0.58,1.0158,3.11,0.0,11.5,31.6,24.2
20000616,4,0.5,1.0176,2.63,0.0,12.3,24.4,18.1
20000617,2,0.43,1.024,3.08,0.0,9.6,19.0,15.4
20000618,5,0.39,1.0277,3.06,0.0,13.0,21.9,17.8
20000619,1,0.4,1.0264,3.39,0.0,13.5,25.2,19.5
20000620,1,0.4,1.0202,3.18,0.0,13.5,30.5,23.9
20000621,1,0.38,1.0153,3.32,0.0,14.2,33.4,26.3
20000622,0,0.34,1.0135,3.25,0.0,14.3,35.2,29.0
20000623,1,0.41,1.0125,3.27,0.0,12.9,34.2,27.2
20000624,4,0.53,1.0121,2.84,0.21,8.8,25.9,21.7
20000625,8,0.77,1.0111,0.6,0.26,0.9,23.0,16.2
20000626,3,0.61,1.0162,3.0,0.0,12.3,22.0,16.7
20000627,2,0.48,1.0183,2.84,0.0,12.6,20.0,16.1
20000628,5,0.4,1.0151,3.0,0.0,10.9,23.4,18.4
20000629,1,0.37,1.0139,3.19,0.0,12.7,23.0,19.4
20000630,4,0.47,1.0151,2.87,0.28,11.2,23.2,18.7
20000701,3,0.6,1.013,3.12,0.0,10.5,28.6,21.9
20000702,4,0.51,1.0124,3.03,0.0,10.0,30.0,25.0
20000703,4,0.56,1.0102,2.95,0.2,11.2,33.0,26.1
20000704,4,0.58,1.0078,2.28,0.0,7.3,33.5,26.2
20000705,3,0.53,1.0121,2.95,0.0,9.2,27.3,23.3
20000706,4,0.41,1.0164,2.94,0.0,11.9,27.7,23.8
20000707,5,0.5,1.0128,2.53,0.15,7.5,30.1,23.7
20000708,7,0.67,1.0051,2.95,0.02,7.9,29.2,21.4
20000709,6,0.79,1.006,0.91,0.24,1.9,23.5,14.2
20000710,2,0.53,1.0054,3.33,0.0,12.8,26.5,20.1
20000711,7,0.66,1.0019,1.46,0.27,2.4,26.6,20.4
20000712,5,0.74,1.0067,2.36,0.12,8.3,21.0,17.3
20000713,5,0.54,1.01,2.37,0.0,8.7,20.9,17.0
20000714,5,0.54,1.0072,2.09,0.06,7.1,22.6,17.7
20000715,8,0.86,1.0037,0.72,1.89,0.0,20.3,15.1
20000716,7,0.88,1.0047,0.81,0.0,0.3,15.4,14.0
20000717,6,0.72,1.0114,1.63,0.0,2.9,18.6,16.0
20000718,5,0.69,1.0155,2.67,0.0,4.2,22.4,17.2
20000719,5,0.57,1.0142,2.55,0.0,8.9,22.9,19.0
20000720,3,0.62,1.0147,2.88,0.0,11.5,22.0,18.0
20000721,4,0.53,1.0164,2.71,0.0,11.6,23.9,19.3
20000722,7,0.59,1.0164,2.19,0.0,6.2,23.8,19.8
20000723,5,0.6,1.0145,2.67,0.0,9.1,28.0,21.7
20000724,7,0.65,1.0106,2.05,0.0,5.3,28.3,22.5
20000725,4,0.52,1.0076,2.47,0.0,9.2,29.4,24.8
20000726,5,0.67,1.0078,2.43,0.0,6.3,30.9,22.8
20000727,3,0.61,1.0137,2.78,0.0,11.9,25.6,21.8
20000728,8,0.66,1.0111,2.35,1.39,5.0,27.9,21.6
20000729,6,0.74,1.0095,1.74,0.0,7.6,22.6,18.4
20000730,4,0.66,1.0154,2.84,0.0,9.1,23.2,19.2
20000731,4,0.65,1.02,2.71,0.0,10.0,24.6,19.8
20000801,2,0.55,1.0218,2.88,0.0,12.2,26.6,21.0
20000802,0,0.54,1.02,2.97,0.0,12.8,29.7,23.3
20000803,3,0.6,1.0174,2.47,0.0,7.5,28.8,24.1
20000804,1,0.65,1.0162,2.79,0.0,10.7,27.9,23.3
20000805,7,0.67,1.0175,1.59,0.0,5.0,25.9,22.5
20000806,6,0.62,1.0136,2.3,0.2,7.1,31.1,24.4
20000807,6,0.74,1.0141,2.01,0.0,6.1,26.3,21.3
20000808,3,0.56,1.0171,2.76,0.0,12.1,25.1,21.1
20000809,4,0.56,1.0189,2.17,0.0,7.1,27.0,21.8
20000810,2,0.53,1.0182,2.57,0.0,10.4,28.3,22.7
20000811,3,0.53,1.015,2.21,0.0,8.9,29.1,23.7
20000812,3,0.51,1.0131,2.66,0.0,10.4,33.7,25.6
20000813,4,0.46,1.0156,2.71,0.0,10.6,32.9,27.0
20000814,5,0.53,1.018,1.99,0.0,5.6,30.6,25.6
20000815,2,0.53,1.0183,2.52,0.0,11.0,31.2,25.4
20000816,1,0.5,1.016,2.57,0.0,11.1,33.3,26.0
20000817,1,0.45,1.0143,2.52,0.0,10.6,33.6,27.7
20000818,1,0.4,1.0148,2.55,0.0,11.7,35.1,29.0
20000819,0,0.38,1.0163,2.51,0.0,11.2,36.7,29.5
20000820,0,0.39,1.0141,2.56,0.0,11.5,36.9,29.3
20000821,0,0.43,1.0118,2.59,0.0,11.4,36.4,29.1
20000822,1,0.45,1.0138,2.46,0.0,11.1,31.6,26.6
20000823,2,0.44,1.0172,2.34,0.0,11.1,31.7,25.2
20000824,1,0.43,1.0204,2.57,0.0,11.2,27.1,21.4
20000825,3,0.44,1.0158,2.46,0.0,10.1,24.3,20.9
20000826,3,0.46,1.0182,2.09,0.0,10.6,23.1,18.5
20000827,3,0.48,1.0188,2.09,0.0,10.6,23.7,19.2
20000828,6,0.54,1.0183,1.95,0.0,7.8,25.3,20.2
20000829,5,0.59,1.0176,2.29,0.0,6.5,27.4,21.1
20000830,2,0.52,1.0159,2.2,0.05,10.0,27.4,21.7
20000831,8,0.79,1.0114,0.75,0.16,0.0,23.3,18.4
20000901,7,0.87,1.0058,0.62,0.26,2.0,21.2,17.9
20000902,2,0.75,1.0072,2.09,0.74,7.7,25.0,18.3
20000903,4,0.67,1.0084,2.1,0.0,9.4,21.4,17.3
20000904,4,0.62,1.0124,1.9,0.0,7.2,21.0,16.8
20000905,5,0.6,1.0155,1.99,0.0,8.6,18.6,14.8
20000906,3,0.55,1.0162,2.0,0.0,10.0,19.2,14.7
20000907,8,0.84,1.0121,0.58,0.15,0.0,16.1,12.4
20000908,4,0.67,1.0201,2.25,0.0,9.4,21.5,15.4
20000909,1,0.6,1.0263,2.22,0.0,10.3,23.7,16.7
20000910,1,0.56,1.0237,2.25,0.0,10.5,26.1,17.8
20000911,3,0.53,1.0167,1.99,0.0,8.5,26.5,19.3
20000912,1,0.58,1.0152,1.97,0.0,8.9,27.1,20.9
20000913,4,0.57,1.0143,1.9,0.0,6.6,27.4,21.1
20000914,7,0.6,1.0137,1.43,0.0,5.5,25.5,21.5
20000915,2,0.56,1.0164,1.98,0.0,10.3,24.7,19.4
20000916,8,0.58,1.015,0.92,0.63,1.1,19.9,15.8
20000917,6,0.73,1.0095,1.25,0.0,5.3,19.5,15.8
20000918,4,0.7,1.0108,1.79,0.0,8.3,20.2,16.3
20000919,5,0.69,1.0119,1.46,0.11,4.6,19.4,14.8
20000920,8,0.89,1.0108,1.24,0.0,1.8,19.1,15.2
20000921,7,0.76,1.011,0.87,0.13,1.4,18.4,16.2
20000922,7,0.82,1.0165,1.17,0.0,2.2,16.8,14.4
20000923,8,0.87,1.0236,0.35,0.17,0.0,14.4,12.4
20000924,8,0.77,1.0249,0.92,0.0,1.5,15.6,12.8
20000925,8,0.85,1.025,0.66,0.0,0.0,15.3,13.6
20000926,3,0.75,1.0251,1.55,0.0,7.1,19.8,14.1
20000927,3,0.69,1.0237,1.8,0.0,9.7,20.8,14.3
20000928,5,0.65,1.0198,1.41,0.0,5.9,20.1,14.3
20000929,1,0.63,1.0157,1.76,0.0,9.7,21.1,15.0
20000930,3,0.61,1.0148,1.68,0.0,8.6,22.4,16.6
20001001,8,0.62,1.0142,1.1,0.23,3.2,23.1,18.4
20001002,8,0.82,1.0116,0.91,0.65,1.1,21.6,17.7
20001003,6,0.8,1.0171,1.15,0.0,3.6,22.8,18.3
20001004,4,0.74,1.0199,1.23,0.0,6.9,24.9,18.9
20001005,2,0.7,1.018,1.57,0.0,9.5,23.9,17.5
20001006,7,0.78,1.0165,0.94,0.38,2.0,19.6,15.9
20001007,6,0.85,1.0171,0.94,0.02,2.3,19.3,14.8
20001008,4,0.84,1.0163,1.32,0.0,7.6,16.5,13.4
20001009,8,0.88,1.0139,0.3,0.02,0.0,13.7,11.9
20001010,8,0.86,1.0079,0.3,0.0,1.0,13.0,11.9
20001011,6,0.76,1.0047,0.63,0.0,4.7,20.4,14.8
20001012,5,0.67,1.0091,1.16,0.0,4.7,24.2,18.2
20001013,0,0.73,1.0169,1.37,0.0,8.8,25.9,18.0
20001014,0,0.78,1.0196,1.31,0.0,6.6,24.2,17.2
20001015,0,0.75,1.019,1.39,0.0,7.9,23.1,16.4
20001016,5,0.76,1.0192,0.79,0.0,1.1,18.6,14.9
20001017,6,0.73,1.0211,0.96,0.0,4.2,21.2,16.8
20001018,4,0.75,1.0225,1.09,0.0,6.8,21.0,16.0
20001019,8,0.81,1.0238,0.37,0.0,0.0,16.7,13.9
20001020,5,0.6,1.0298,0.82,0.0,3.2,15.1,12.1
20001021,0,0.61,1.0344,1.32,0.0,9.0,14.4,9.5
20001022,0,0.67,1.0351,1.28,0.0,8.9,15.0,8.4
20001023,0,0.68,1.032,1.25,0.0,8.4,15.6,8.4
20001024,1,0.69,1.0251,1.22,0.0,8.3,16.3,9.6
20001025,4,0.71,1.0198,0.9,0.0,5.0,19.2,13.9
20001026,2,0.8,1.0152,1.14,0.0,7.9,18.1,12.8
20001027,5,0.69,1.0172,0.62,0.03,4.3,14.5,11.2
20001028,7,0.76,1.0238,0.58,0.0,0.6,14.6,10.6
20001029,2,0.73,1.0222,1.1,0.0,8.5,15.0,10.4
20001030,2,0.75,1.0169,0.96,0.0,6.0,17.8,11.6
20001031,3,0.63,1.0091,0.98,0.02,5.6,22.5,17.1
20001101,7,0.85,1.0092,0.2,0.45,0.0,19.6,11.8
20001102,7,0.96,1.0147,0.44,0.0,0.7,9.2,7.4
20001103,7,0.91,1.0129,0.58,0.13,0.7,12.1,10.3
20001104,8,0.94,1.0104,0.33,1.98,0.2,13.9,11.6
20001105,5,0.84,1.0174,0.64,0.0,2.8,12.4,8.2
20001106,6,0.81,1.0109,0.97,0.07,5.1,15.5,9.2
20001107,7,0.92,0.9983,0.09,0.99,0.0,12.6,11.4
20001108,4,0.81,1.0042,0.73,0.02,5.5,15.0,11.2
20001109,3,0.78,1.0125,0.94,0.55,6.5,14.1,10.0
20001110,6,0.93,1.0191,0.16,0.18,0.2,9.2,7.3
20001111,2,0.82,1.0264,0.88,0.0,7.6,12.3,7.5
20001112,6,0.94,1.0254,0.53,0.0,0.2,6.9,4.8
20001113,3,0.85,1.0148,0.82,0.0,6.0,13.6,7.9
20001114,5,0.71,1.0122,0.63,0.0,2.7,19.3,13.9
20001115,7,0.72,1.0159,0.5,0.05,1.3,17.9,14.6
20001116,6,0.9,1.0166,0.37,0.01,0.0,12.9,10.7
20001117,6,0.85,1.0145,0.56,0.05,0.4,13.8,10.6
20001118,8,0.9,1.0138,0.16,0.07,0.0,12.1,8.7
20001119,7,0.91,1.0143,0.23,0.0,0.0,9.5,8.0
20001120,6,0.84,1.0112,0.69,0.0,1.6,11.4,9.2
20001121,6,0.8,1.0131,0.47,0.0,1.0,13.5,10.7
20001122,2,0.85,1.0171,0.72,0.0,6.1,13.5,8.9
20001123,5,0.84,1.0179,0.55,0.0,3.4,12.2,8.8
20001124,7,0.88,1.0151,0.28,0.0,0.1,10.1,7.0
20001125,6,0.81,1.0128,0.49,0.42,1.3,11.6,9.2
20001126,6,0.91,1.0067,0.12,0.89,0.6,10.0,7.9
20001127,4,0.82,1.0136,0.45,0.0,0.0,9.3,7.2
20001128,2,0.79,1.0227,0.69,0.0,6.3,10.4,6.1
20001129,2,0.84,1.0243,0.59,0.0,3.5,9.8,5.8
20001130,5,0.93,1.0245,0.62,0.0,2.1,6.8,3.4
20001201,6,0.91,1.0245,0.64,0.0,0.5,7.6,3.5
20001202,8,0.94,1.023,0.1,0.0,0.0,4.3,2.6
20001203,7,0.97,1.0235,0.19,0.0,0.0,4.1,2.9
20001204,7,0.94,1.0244,0.22,0.0,0.0,7.2,5.5
20001205,8,0.99,1.0267,0.13,0.0,0.0,6.6,5.3
20001206,8,0.99,1.027,0.11,0.0,0.0,5.5,2.9
20001207,8,0.98,1.0259,0.08,0.0,0.0,2.4,0.9
20001208,7,0.91,1.0217,0.06,0.0,0.0,3.3,2.3
20001209,6,0.83,1.0206,0.55,0.21,1.0,7.7,5.1
20001210,5,0.94,1.0212,0.12,0.11,0.1,7.2,5.5
20001211,5,0.81,1.0241,0.57,0.0,4.8,12.2,8.6
20001212,6,0.89,1.026,0.28,0.0,0.3,11.1,7.1
20001213,6,0.85,1.0201,0.36,0.0,0.0,11.6,8.6
20001214,6,0.83,1.0152,0.46,0.0,2.8,13.7,9.3
20001215,5,0.92,1.005,0.08,0.46,0.3,9.0,6.7
20001216,2,0.66,1.006,0.59,0.0,6.9,8.4,5.7
20001217,4,0.6,1.0142,0.51,0.0,3.4,7.2,4.6
20001218,2,0.75,1.0197,0.57,0.0,5.7,6.0,2.8
20001219,8,0.9,1.0223,0.19,0.1,0.0,3.5,1.2
20001220,2,0.91,1.0287,0.26,0.0,3.2,2.9,-1.5
20001221,8,0.65,1.0318,0.24,0.0,0.0,0.0,-1.5
20001222,2,0.66,1.0305,0.6,0.0,5.7,0.1,-2.7
20001223,6,0.81,1.0251,0.59,0.0,1.0,-1.5,-4.8
20001224,7,0.93,1.0173,0.16,0.0,0.0,-3.6,-6.6
20001225,8,0.92,1.0062,0.12,0.3,0.0,0.6,-2.0
20001226,8,1.0,0.997,0.09,1.14,0.0,3.6,2.6
20001227,8,1.0,0.997,0.32,0.35,0.0,6.1,4.4
20001228,8,0.94,0.9932,0.19,0.0,0.0,8.4,6.2
20001229,8,0.88,1.0002,0.3,1.46,0.3,6.2,4.6
20001230,7,0.92,0.9968,0.08,0.55,0.0,4.4,2.5
20001231,6,0.76,1.0139,0.56,0.0,3.2,3.7,1.3
20010101,0,0.86,1.0198,0.78,0.0,6.9,2.6,-1.4
20010102,8,0.94,1.0158,0.15,0.09,0.0,1.1,-1.1
20010103,8,0.98,1.0123,0.12,0.24,0.0,3.1,1.7
20010104,6,0.98,1.0156,0.25,0.0,0.3,3.2,1.0
20010105,8,1.0,1.0142,0.16,0.0,0.0,3.3,1.9
20010106,7,0.96,1.0091,0.26,0.0,0.0,7.5,5.0
20010107,6,0.95,1.0133,0.33,0.86,0.0,9.5,6.2
20010108,8,1.0,1.0108,0.13,0.15,0.0,8.4,7.4
20010109,6,0.91,1.0085,0.12,0.53,0.0,7.0,3.6
20010110,3,0.89,1.0195,0.23,0.0,0.0,4.9,1.5
20010111,6,0.95,1.0191,0.22,0.0,0.2,4.9,1.3
20010112,1,0.77,1.0235,0.71,0.0,7.1,4.3,0.5
20010113,3,0.76,1.0319,0.7,0.0,6.0,3.6,0.0
20010114,1,0.74,1.0363,0.85,0.0,6.4,1.6,-1.9
20010115,1,0.76,1.0345,0.79,0.0,6.8,1.6,-2.5
20010116,7,0.8,1.0319,0.25,0.0,0.0,-0.6,-2.6
20010117,6,0.75,1.0297,0.27,0.0,0.0,1.9,0.0
20010118,1,0.72,1.0281,0.75,0.0,6.3,4.6,0.3
20010119,1,0.83,1.0285,0.74,0.0,1.2,3.4,-0.6
20010120,4,0.82,1.0298,0.59,0.0,0.0,2.5,-0.5
20010121,2,0.88,1.0303,0.53,0.0,0.0,1.6,-1.3
20010122,8,0.9,1.0285,0.21,0.14,0.0,-0.6,-2.1
20010123,8,0.99,1.0217,0.08,0.72,0.0,-1.0,-1.2
20010124,8,1.0,1.0218,0.12,0.98,0.0,0.5,-0.4
20010125,8,0.98,1.0187,0.09,2.31,0.0,1.8,1.0
20010126,8,1.0,1.0134,0.14,0.8,0.0,2.3,1.9
20010127,6,0.95,1.0072,0.54,0.0,0.9,9.6,4.6
